ID	Length	pLDDT	Domain architecture	Taxonomy	Dominating topology	Dom. top. frequency
A0A558BBG8	716	78,42	PF08487;PF13768;	Marinobacter vinifirmus	6_3	0,88
A0A1Q3JQ17	726	78,34	PF08487;PF13768;	Alphaproteobacteria bacterium 64-6	6_3	0,88
A0A1V9UQJ6	658	78,27	PF08487;PF13768;	Pseudomonas sp. T	6_3	0,88
A0A643F066	748	78,26	PF08487;PF13768;	Brucella pituitosa	6_3	0,88
A0A259RL56	671	78,24	PF08487;PF13768;	Halothiobacillus sp. 14-55-98	6_3	0,88
A0A844TB30	751	78,16	PF08487;PF13768;	Bradyrhizobium cajani	6_3	0,88
A0A669DNU5	828	78,11	PF08487;PF13768;	Oreochromis niloticus (Nile tilapia) (Tilapia nilotica)	6_3	0,88
W7WUT5	711	77,94	PF08487;PF13768;	Methylibium sp. T29-B	6_3	0,88
A0A2E2IRM5	739	77,9	PF08487;PF13768;	Erythrobacteraceae bacterium	6_3	0,88
A0A522UYY0	792	77,85	PF08487;PF13768;	Nitrospirae bacterium	6_3	0,88
A0A7U9RIC1	686	77,38	PF08487;PF13768;	Lachnospiraceae bacterium	6_3	0,88
A0A2V8VM30	791	77,31	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,88
A0A7V2M7S9	698	77,17	PF08487;PF13768;	Betaproteobacteria bacterium	6_3	0,88
A0A7X1AVF5	671	77,06	PF08487;PF13768;	Puniceicoccus vermicola	6_3	0,88
A0A7Y2N3P4	666	76,57	PF08487;PF13768;	Desulfofustis sp	6_3	0,88
A0A2E6Q9I1	763	76,55	PF08487;PF13768;	Rhodospirillaceae bacterium	6_3	0,88
A0A382AVM5	715	76,49	PF08487;PF13768;	marine metagenome	6_3	0,88
A0A5R8K851	695	76,45	PF08487;PF13768;	Phragmitibacter flavus	6_3	0,88
A0A315CB50	854	76,3	PF08487;PF13768;	Limnohabitans sp. Jir72	6_3	0,88
A0A3A6IBI1	678	76,28	PF08487;PF13768;	Clostridiales bacterium TF09-2AC	6_3	0,88
A0A074MA34	745	76,07	PF08487;PF13768;	Erythrobacter longus	6_3	0,88
A0A2V8DVK3	713	75,91	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,88
A0A0Q6MRH7	693	75,71	PF08487;PF13768;	Variovorax sp. Root318D1	6_3	0,88
A0A3A8UDE8	707	75,65	PF08487;PF13768;	bacterium 1XD21-70	6_3	0,88
A0A143HP41	783	75,2	PF08487;PF13768;	Microbulbifer thermotolerans	6_3	0,88
A0A6M4GY04	709	75,05	PF08487;PF13768;	Usitatibacter rugosus	6_3	0,88
Q0HUE0	755	74,43	PF08487;PF13768;	Shewanella sp. (strain MR-7)	6_3	0,88
A0A366IS62	768	74,36	PF08487;PF13768;	Shewanella putrefaciens (Pseudomonas putrefaciens)	6_3	0,88
A0A523G0A6	807	73,88	PF08487;PF13768;	Alphaproteobacteria bacterium	6_3	0,88
A0A1F4S1K3	1000	73,6	PF08487;PF13768;	candidate division WOR-1 bacterium RIFOXYB2_FULL_36_35	6_3	0,88
A0A0M6Y0Z2	780	73,26	PF08487;PF13768;	Roseibium aggregatum	6_3	0,88
A0A7Z0IYB2	794	72,86	PF08487;PF13768;	Rhizobium leguminosarum	6_3	0,88
A0A849Z1G3	789	72,68	PF08487;PF13768;	Polyangiaceae bacterium	6_3	0,88
A0A3D1A6D0	826	72,03	PF08487;PF13768;	Elusimicrobia bacterium	6_3	0,88
A0A411PD79	825	71,07	PF08487;PF13768;	Shewanella maritima	6_3	0,88
A0A2E3I974	792	70,13	PF08487;PF13768;	Rickettsiales bacterium	6_3	0,88
A0A352GJ67	751		PF08487;PF13768;	Rhodospirillaceae bacterium	6_3	0,88
W6K9Y3	732		PF08487;PF13768;	Magnetospira sp. (strain QH-2) (Marine magnetic spirillum (strain QH-2))	6_3	0,88
A0A258GS46	757		PF08487;PF13768;	Alphaproteobacteria bacterium 32-64-14	6_3	0,88
A0A7X7XHS8	662		PF08487;PF13768;	Acidobacteria bacterium	6_3	0,88
A0A1M2UUG7	712	83,63	PF08487;PF13768;	Marinobacter nauticus (Marinobacter hydrocarbonoclasticus) (Marinobacter aquaeolei)	6_3	0,87
E4PFD9	704	83,55	PF08487;PF13768;	Marinobacter adhaerens (strain DSM 23420 / HP15)	6_3	0,87
A0A4R2JMQ0	746	83,55	PF08487;PF13768;	Actinocrispum wychmicini	6_3	0,87
C5AYN5	735	82,88	PF08487;PF13768;	Methylorubrum extorquens (strain ATCC 14718 / DSM 1338 / JCM 2805 / NCIMB 9133 / AM1) (Methylobacterium extorquens)	6_3	0,87
U7NGK2	712	82,55	PF08487;PF13768;	Marinobacter sp. EVN1	6_3	0,87
A0A1Z7WW69	703	82,43	PF08487;PF13768;	Methylophaga sp. 42_25_T18	6_3	0,87
A0A837WPP8	718	82,33	PF08487;PF13768;	Marinobacter sp. Hex_13	6_3	0,87
R9N180	675	82	PF08487;PF13768;	Lachnospiraceae bacterium 10-1	6_3	0,87
A0A0Q4XRH6	717	81,87	PF08487;PF13768;	Methylobacterium sp. Leaf93	6_3	0,87
B8IP45	725	81,8	PF08487;PF13768;	Methylobacterium nodulans (strain LMG 21967 / CNCM I-2342 / ORS 2060)	6_3	0,87
A0A0Q5H359	768	81,77	PF08487;PF13768;	Massilia sp. Leaf139	6_3	0,87
A0A6A0IIA0	805	81,76	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,87
A0A2D7S4K9	738	81,73	PF08487;PF13768;	Legionellales bacterium	6_3	0,87
A0A2N6BWE9	726	81,45	PF08487;PF13768;	Desulfobulbaceae bacterium	6_3	0,87
A0A2E8GEN4	656	81,39	PF08487;PF13768;	Nitrospiraceae bacterium	6_3	0,87
A0A165JGN8	654	81,36	PF08487;PF13768;	Alcanivorax sp. HI0044	6_3	0,87
A0A3A8I706	834	81,19	PF08487;PF13768;	Corallococcus exercitus	6_3	0,87
A0A4Q0R8Z2	754	81,08	PF08487;PF13768;	Bradyrhizobium vignae	6_3	0,87
A0A3N5X704	650	80,97	PF08487;PF13768;	Chloroflexi bacterium	6_3	0,87
A0A2V6PWF7	663	80,94	PF08487;PF13768;	Candidatus Rokubacteria bacterium	6_3	0,87
A0A2A5CJT8	769	80,69	PF08487;PF13768;	Moraxellaceae bacterium	6_3	0,87
A0A3G2VI43	720	80,65	PF08487;PF13768;	Methylobacterium brachiatum	6_3	0,87
B2IZC3	818	80,61	PF08487;PF13768;	Nostoc punctiforme (strain ATCC 29133 / PCC 73102)	6_3	0,87
A0A285Q837	757	80,6	PF08487;PF13768;	Marinobacter sp. LV10R510-11A	6_3	0,87
A0A525CYS0	672	80,48	PF08487;PF13768;	Desulfobulbaceae bacterium	6_3	0,87
A0A0G2ZDR8	848	80,3	PF08487;PF13768;	Archangium gephyra	6_3	0,87
A0A352JJM0	835	80,2	PF08487;PF13768;	Pseudanabaena sp	6_3	0,87
B8CPU4	710	80,16	PF08487;PF13768;	Shewanella piezotolerans (strain WP3 / JCM 13877)	6_3	0,87
A0A4R7D0H2	715	80,15	PF08487;PF13768;	Maribacter caenipelagi	6_3	0,87
S4XSB9	867	80,1	PF08487;PF13768;	Sorangium cellulosum So0157-2	6_3	0,87
I9WE49	710	80,06	PF08487;PF13768;	Novosphingobium sp. Rr 2-17	6_3	0,87
A0A844SRL2	757	80,04	PF08487;PF13768;	Bradyrhizobium pachyrhizi	6_3	0,87
A0A370DA53	713	80	PF08487;PF13768;	endosymbiont of Lamellibrachia luymesi	6_3	0,87
A0A1Z8KY82	753	79,88	PF08487;PF13768;	Micavibrio sp. TMED2	6_3	0,87
A0A1M6W3R0	757	79,72	PF08487;PF13768;	Bradyrhizobium lablabi	6_3	0,87
A0A2E0TEY3	863	79,64	PF08487;PF13768;	Sandaracinus sp	6_3	0,87
A0A6N6JFV2	671	79,2	PF08487;PF13768;	Litoreibacter roseus	6_3	0,87
A0A810L6A2	826	79,01	PF08487;PF13768;	Actinocatenispora sera	6_3	0,87
A0A1H1YF92	759	79	PF08487;PF13768;	Bradyrhizobium canariense	6_3	0,87
A6EQD3	733	79	PF08487;PF13768;	unidentified eubacterium SCB49	6_3	0,87
A0A563EMZ6	788	78,99	PF08487;PF13768;	Lentzea tibetensis	6_3	0,87
A0A352PVB2	669	78,87	PF08487;PF13768;	Syntrophobacteraceae bacterium	6_3	0,87
A0A1F7WTF0	810	78,76	PF08487;PF13768;	Candidatus Wallbacteria bacterium GWC2_49_35	6_3	0,87
A0A0Q4Y0R7	692	78,59	PF08487;PF13768;	Pseudorhodoferax sp. Leaf267	6_3	0,87
A0A0G1HM86	906	78,56	PF08487;PF13768;	Parcubacteria group bacterium GW2011_GWF2_44_17	6_3	0,87
A0A7W7P023	663	78,4	PF08487;PF13768;	Pseudomonas nitritireducens	6_3	0,87
A0A2P5KX38	790	78,27	PF08487;PF13768;	Hyphomicrobium sp	6_3	0,87
A0A6N7ERD6	659	78,25	PF08487;PF13768;	Ostreibacterium oceani	6_3	0,87
Y0KKR0	686	78,17	PF08487;PF13768;	Methylophilaceae bacterium 11	6_3	0,87
A0A4Q6XWV2	702	78,01	PF08487;PF13768;	Sphingomonas populi	6_3	0,87
A0A3M1WE09	997	77,69	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,87
A0A2K8ZR98	771	77,6	PF08487;PF13768;	Shewanella sp. Pdp11	6_3	0,87
A0A1W9MH61	666	77,54	PF08487;PF13768;	Desulfobulbaceae bacterium A2	6_3	0,87
A0A258S5G6	667	77,28	PF08487;PF13768;	Gammaproteobacteria bacterium 28-57-27	6_3	0,87
A0A816AAF7	820	76,81	PF08487;PF13768;	Rotaria magnacalcarata	6_3	0,87
A0A256FNR0	721	76,73	PF08487;PF13768;	Brucella grignonensis	6_3	0,87
A0A5S3RPF7	670	76,7	PF08487;PF13768;	Pseudoalteromonas sp. S1727	6_3	0,87
A0A168DR11	730	76,29	PF08487;PF13768;	Pseudovibrio sp. W74	6_3	0,87
A0A1M5CUY0	785	76,18	PF08487;PF13768;	Microbulbifer donghaiensis	6_3	0,87
A0A2G6D1Q0	740	76,11	PF08487;PF13768;	Proteobacteria bacterium	6_3	0,87
A0A2V9G4D0	738	76,03	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,87
A0A2S1JNK0	781	76,02	PF08487;PF13768;	Microbulbifer sp. A4B17	6_3	0,87
A0A1C7NXD3	766	75,67	PF08487;PF13768;	Pararhizobium polonicum	6_3	0,87
A0A0Q7GW59	690	75,65	PF08487;PF13768;	Variovorax sp. Root434	6_3	0,87
A0A448EMM2	771	75,49	PF08487;PF13768;	Shewanella baltica	6_3	0,87
A0A821UQ60	816	75,14	PF08487;PF13768;	Rotaria sp. Silwood1	6_3	0,87
A0A2K4ZJ33	684	75,05	PF08487;PF13768;	Acetatifactor muris	6_3	0,87
A0A0M7AV02	755	74,91	PF08487;PF13768;	Roseibium album	6_3	0,87
A0A3L7T432	741	74,84	PF08487;PF13768;	Planctomycetes bacterium	6_3	0,87
E2CGI9	746	74,81	PF08487;PF13768;	Roseibium sp. TrichSKD4	6_3	0,87
A0A395L983	786	74,6	PF08487;PF13768;	Ensifer sp. M14	6_3	0,87
A0A640QMI7	812	74,55	PF08487;PF13768;	Alteromonas sp. KUL150	6_3	0,87
A0A0X3U5V6	771	74,25	PF08487;PF13768;	Microbulbifer sp. ZGT114	6_3	0,87
A0A1S2TWE3	775	72,58	PF08487;PF13768;	Shewanella algae	6_3	0,87
A0A7K1ZRC7	836	71,37	PF08487;PF13768;	Rhodothermaceae bacterium	6_3	0,87
A0A2I0DRE3	771	70,37	PF08487;PF13768;	Shewanella sp. GutDb-MelDb	6_3	0,87
A0A4R4N3E1	671	84,35	PF08487;PF13768;	Actinomadura bangladeshensis	6_3	0,86
A0A495IP64	712	84,02	PF08487;PF13768;	Marinobacter nauticus (Marinobacter hydrocarbonoclasticus) (Marinobacter aquaeolei)	6_3	0,86
A0A1M6S1H7	715	83,73	PF08487;PF13768;	Maribacter aquivivus	6_3	0,86
K4KPG8	714	83,12	PF08487;PF13768;	Simiduia agarivorans (strain DSM 21679 / JCM 13881 / BCRC 17597 / SA1)	6_3	0,86
A0A841A8U4	734	83,06	PF08487;PF13768;	Methylorubrum rhodesianum	6_3	0,86
A0A160PCB2	730	83	PF08487;PF13768;	Methylorubrum populi	6_3	0,86
A0A7V9L7M9	691	82,54	PF08487;PF13768;	Deltaproteobacteria bacterium	6_3	0,86
A0A6B9FMH5	729	82,05	PF08487;PF13768;	Methylobacterium mesophilicum SR1.6/6	6_3	0,86
A0A679KG02	719	81,8	PF08487;PF13768;	Methylobacterium bullatum	6_3	0,86
A0A6J4BY73	708	81,67	PF08487;PF13768;	Sphingomonas sp. HMP9	6_3	0,86
A0A1E4IP58	777	81,56	PF08487;PF13768;	Variovorax sp. SCN 67-85	6_3	0,86
I2QJI6	753	81,52	PF08487;PF13768;	Bradyrhizobium sp. WSM1253	6_3	0,86
A0A3A8GYR3	839	81,49	PF08487;PF13768;	Corallococcus sp. CA054B	6_3	0,86
A0A0Q4UGN1	718	81,48	PF08487;PF13768;	Methylobacterium sp. Leaf85	6_3	0,86
A0A2N5WWQ6	737	81,47	PF08487;PF13768;	Pseudohalioglobus lutimaris	6_3	0,86
A0A4P2PX90	879	81,46	PF08487;PF13768;	Sorangium cellulosum (Polyangium cellulosum)	6_3	0,86
A0A1I6SWW6	729	81,37	PF08487;PF13768;	Methylobacterium sp. yr668	6_3	0,86
A0A3N7HUH9	664	81,32	PF08487;PF13768;	Albitalea terrae	6_3	0,86
A0A1Y2JG22	754	81,07	PF08487;PF13768;	Bradyrhizobium japonicum	6_3	0,86
A5E9T8	755	80,94	PF08487;PF13768;	Bradyrhizobium sp. (strain BTAi1 / ATCC BAA-1182)	6_3	0,86
A0A2T2Q6R0	753	80,79	PF08487;PF13768;	Bradyrhizobium sp. MOS003	6_3	0,86
A0A1R1Q7P2	755	80,76	PF08487;PF13768;	Bradyrhizobium sp. UFLA 03-321	6_3	0,86
A0A1I4S345	705	80,72	PF08487;PF13768;	Marinobacter pelagius	6_3	0,86
A0A1M5CM98	673	80,52	PF08487;PF13768;	Litoreibacter ascidiaceicola	6_3	0,86
A0A6P0VTY8	828	80,51	PF08487;PF13768;	Symploca sp. SIO1A3	6_3	0,86
A0A2W4NXG8	786	80,35	PF08487;PF13768;	Actinomycetia bacterium	6_3	0,86
A0A4Q8QJP5	755	80,29	PF08487;PF13768;	Bradyrhizobium sp. Leo170	6_3	0,86
A0A315CSR8	784	80,19	PF08487;PF13768;	Limnohabitans sp. Jir72	6_3	0,86
A0A7Y4J177	838	80,18	PF08487;PF13768;	Corallococcus coralloides (Myxococcus coralloides)	6_3	0,86
A0A6P7JDK9	691	80,17	PF08487;PF13768;	Parambassis ranga (Indian glassy fish)	6_3	0,86
A0A1I3PU96	773	80,08	PF08487;PF13768;	Streptosporangium canum	6_3	0,86
A0A6P1BJ86	757	80,03	PF08487;PF13768;	Bradyrhizobium uaiense	6_3	0,86
A0A7S7W7Z2	753	79,86	PF08487;PF13768;	Bradyrhizobium sp. CCBAU 53351	6_3	0,86
A0A4R5E7R3	790	79,85	PF08487;PF13768;	Nonomuraea mesophila	6_3	0,86
A0A2V7Z2T8	665	79,72	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,86
A0A4R7LHZ8	673	79,67	PF08487;PF13768;	Litoreibacter halocynthiae	6_3	0,86
A0A4D7DU84	721	79,54	PF08487;PF13768;	Novosphingobium sp. EMRT-2	6_3	0,86
A0A0J7XHE2	718	79,53	PF08487;PF13768;	Novosphingobium barchaimii LL02	6_3	0,86
A0A815NG69	694	78,96	PF08487;PF13768;	Rotaria sp. Silwood1	6_3	0,86
A0A5R9ACZ4	658	78,5	PF08487;PF13768;	Pseudomonas nitroreducens	6_3	0,86
A0A5C6A6T3	765	78,49	PF08487;PF13768;	Rhodopirellula pilleata	6_3	0,86
A0A661GFW3	777	78,41	PF08487;PF13768;	Gammaproteobacteria bacterium	6_3	0,86
A0A7Y4TNA3	664	78,33	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,86
B5JSY7	670	78,29	PF08487;PF13768;	gamma proteobacterium HTCC5015	6_3	0,86
A0A7S7TQX2	757	78,27	PF08487;PF13768;	Bradyrhizobium sp. CCBAU 53421	6_3	0,86
A0A821I1U7	696	78,15	PF08487;PF13768;	Rotaria sp. Silwood1	6_3	0,86
A0A128EZS8	707	78,1	PF08487;PF13768;	Grimontia marina	6_3	0,86
A0A3C1KKT1	774	78,08	PF08487;PF13768;	Haliea salexigens	6_3	0,86
A0A368NM10	795	77,92	PF08487;PF13768;	Corallincola holothuriorum	6_3	0,86
A0A2M8BN32	883	77,75	PF08487;PF13768;	Deltaproteobacteria bacterium CG_4_9_14_3_um_filter_63_12	6_3	0,86
A0A5M8FID1	804	77,75	PF08487;PF13768;	Thiohalocapsa marina	6_3	0,86
A0A496V6S0	703	77,64	PF08487;PF13768;	Gammaproteobacteria bacterium	6_3	0,86
A0A7U9XP52	686	77,53	PF08487;PF13768;	Lachnospiraceae bacterium	6_3	0,86
A0A6P1WKI5	795	77,52	PF08487;PF13768;	Rhizobium leguminosarum bv. viciae 248	6_3	0,86
A0A0J9E033	677	77,29	PF08487;PF13768;	[Clostridium] citroniae WAL-19142	6_3	0,86
A0A2W5G3G7	755	77,27	PF08487;PF13768;	Shewanella oneidensis	6_3	0,86
A0A7W8AG83	748	77,26	PF08487;PF13768;	Pseudochrobactrum saccharolyticum	6_3	0,86
A0A6B0RFI1	823	77,24	PF08487;PF13768;	Bos mutus (wild yak)	6_3	0,86
A0A7Y2C0R7	733	77,24	PF08487;PF13768;	Saprospiraceae bacterium	6_3	0,86
A0A1E4Y3N9	752	77,12	PF08487;PF13768;	Rhizobium sp. YK2	6_3	0,86
A0A5S3U140	666	76,85	PF08487;PF13768;	Pseudoalteromonas sp. S4488	6_3	0,86
A0A7W8Z867	823	76,69	PF08487;PF13768;	Sphaerisporangium krabiense	6_3	0,86
A0A817NSQ1	824	76,36	PF08487;PF13768;	Rotaria socialis	6_3	0,86
C6ASY5	791	76,33	PF08487;PF13768;	Rhizobium leguminosarum bv. trifolii (strain WSM1325)	6_3	0,86
A0A6N9REU8	840	76,02	PF08487;PF13768;	Polaromonas sp	6_3	0,86
A0A7W5DCD1	688	75,97	PF08487;PF13768;	Variovorax sp. Sphag1AA	6_3	0,86
A0A1G6TEM3	690	75,86	PF08487;PF13768;	Variovorax sp. CF079	6_3	0,86
A0A1I6LDL6	677	75,78	PF08487;PF13768;	Enterocloster citroniae	6_3	0,86
A0A5Q3LFE4	798	75,69	PF08487;PF13768;	Planctomycetales bacterium 10988	6_3	0,86
A0A3D1MHB5	922	75,12	PF08487;PF13768;	Candidatus Jacksonbacteria bacterium	6_3	0,86
A0A3D1QX60	961	74,94	PF08487;PF13768;	Myxococcales bacterium	6_3	0,86
A0A258NV47	693	74,67	PF08487;PF13768;	Polaromonas sp. 35-63-35	6_3	0,86
A0A7Z1HLD5	666	74,44	PF08487;PF13768;	Pseudoalteromonas sp. 3D05	6_3	0,86
A0A220ULV1	755	74,32	PF08487;PF13768;	Shewanella bicestrii	6_3	0,86
A0A6P9C3T8	861	74,24	PF08487;PF13768;	Pantherophis guttatus (Corn snake) (Elaphe guttata)	6_3	0,86
A0A081BCU9	769	74,11	PF08487;PF13768;	Tepidicaulis marinus	6_3	0,86
A0A1D8TQ14	937	73,35	PF08487;PF13768;	Moorena producens PAL-8-15-08-1	6_3	0,86
A0A2E7I351	757	72,63	PF08487;PF13768;	Alphaproteobacteria bacterium	6_3	0,86
A0A356KKH4	864	72,17	PF08487;PF13768;	Planctomycetes bacterium	6_3	0,86
A0A1J5E7K0	986	71,87	PF08487;PF13768;	Deltaproteobacteria bacterium CG2_30_63_29	6_3	0,86
A0A380C0C6	775	71,87	PF08487;PF13768;	Shewanella algae	6_3	0,86
A0A1Y6CM93	810	70,83	PF08487;PF13768;	Tistlia consotensis USBA 355	6_3	0,86
A0A366DZT9	748		PF08487;PF13768;	Pseudochrobactrum asaccharolyticum	6_3	0,86
A0A1I7IHQ1	700		PF08487;PF13768;	Polaromonas sp. YR568	6_3	0,86
A0A1B2EE02	711		PF08487;PF13768;	Microvirga ossetica	6_3	0,86
R1IT29	707		PF08487;PF13768;	Grimontia indica	6_3	0,86
A0A0P7IWJ3	703		PF08487;PF13768;	Aliiroseovarius crassostreae	6_3	0,86
A0A2V9A703	706		PF08487;PF13768;	Acidobacteria bacterium	6_3	0,86
A0A150SB52	643	88,12	PF08487;PF13768;	Sorangium cellulosum (Polyangium cellulosum)	6_3	0,85
A0A6N0HXT8	687	85,13	PF08487;PF13768;	Candidatus Reidiella endopervernicosa	6_3	0,85
A0A235IAK9	771	84,7	PF08487;PF13768;	Nostoc sp. 'Peltigera membranacea cyanobiont' 213	6_3	0,85
A0A498PSK9	741	84,62	PF08487;PF13768;	Mycobacterium attenuatum	6_3	0,85
M7D2R5	703	84,3	PF08487;PF13768;	Marinobacter santoriniensis NKSG1	6_3	0,85
A0A7W1L3S3	690	84,23	PF08487;PF13768;	Betaproteobacteria bacterium	6_3	0,85
A0A7C1V9W0	704	83,5	PF08487;PF13768;	Methylophaga sp	6_3	0,85
A0A7X7VC45	792	83,49	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,85
X7YA81	741	83,44	PF08487;PF13768;	Mycobacterium kansasii 824	6_3	0,85
A0A368VB52	712	83,34	PF08487;PF13768;	Marinobacter nauticus (Marinobacter hydrocarbonoclasticus) (Marinobacter aquaeolei)	6_3	0,85
A0A838SHH2	677	83	PF08487;PF13768;	Nitrospirales bacterium	6_3	0,85
A0A1I1XXK2	705	82,98	PF08487;PF13768;	Methylobacterium sp. yr596	6_3	0,85
A0A330L2R0	697	82,31	PF08487;PF13768;	Nitrospira lenta	6_3	0,85
A0A1G1F6S8	666	82,1	PF08487;PF13768;	Nitrospirae bacterium GWC2_42_7	6_3	0,85
B1LW55	729	81,91	PF08487;PF13768;	Methylobacterium radiotolerans (strain ATCC 27329 / DSM 1819 / JCM 2831 / NBRC 15690 / NCIMB 10815 / 0-1)	6_3	0,85
A0A3L8AUQ2	712	81,72	PF08487;PF13768;	Ketobacter sp. GenoA1	6_3	0,85
A0A6G6WY95	713	81,71	PF08487;PF13768;	Nordella sp. HKS 07	6_3	0,85
A0A803J966	848	81,46	PF08487;PF13768;	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	6_3	0,85
A0A1Q7HYL4	648	81,37	PF08487;PF13768;	Acidobacteria bacterium 13_1_40CM_4_69_4	6_3	0,85
A0A7C9MXJ1	777	81,36	PF08487;PF13768;	Malikia spinosa	6_3	0,85
A0A3A8TF50	839	81,28	PF08487;PF13768;	Corallococcus sp. AB038B	6_3	0,85
B0CG18	708	81,27	PF08487;PF13768;	Acaryochloris marina (strain MBIC 11017)	6_3	0,85
A0A0Q4ZM82	720	81,19	PF08487;PF13768;	Methylobacterium sp. Leaf104	6_3	0,85
A0A2W6E0R5	770	81,04	PF08487;PF13768;	Pseudonocardiales bacterium	6_3	0,85
A0A1J4SSQ9	819	80,97	PF08487;PF13768;	Elusimicrobia bacterium CG1_02_56_21	6_3	0,85
A0A2V7VZ15	664	80,94	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,85
A0A059G9L7	742	80,93	PF08487;PF13768;	Hyphomonas oceanitis SCH89	6_3	0,85
A0A2V8TP27	677	80,88	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,85
A0A7V2MHR4	781	80,86	PF08487;PF13768;	Bryobacteraceae bacterium	6_3	0,85
A0A1I7LSQ1	730	80,84	PF08487;PF13768;	Methylobacterium sp. UNCCL125	6_3	0,85
A0A1I7FHM7	754	80,82	PF08487;PF13768;	Bradyrhizobium arachidis	6_3	0,85
B7KTL1	738	80,72	PF08487;PF13768;	Methylorubrum extorquens (strain CM4 / NCIMB 13688) (Methylobacterium extorquens)	6_3	0,85
A0A2V2SGN8	766	80,68	PF08487;PF13768;	Verrucomicrobia bacterium	6_3	0,85
A0A2V9FNP8	694	80,57	PF08487;PF13768;	Acidobacteria bacterium	6_3	0,85
A0A4Z1BW19	687	80,42	PF08487;PF13768;	Marinobacter confluentis	6_3	0,85
A0A1C3XJG7	753	80,06	PF08487;PF13768;	Bradyrhizobium shewense	6_3	0,85
A0A661H8H8	744	80,03	PF08487;PF13768;	Gammaproteobacteria bacterium	6_3	0,85
A0A062UNS2	742	79,94	PF08487;PF13768;	Hyphomonas chukchiensis	6_3	0,85
A0A3C0N7Z0	846	79,85	PF08487;PF13768;	Cyanobacteria bacterium UBA8543	6_3	0,85
A0A5D0PXF6	823	79,85	PF08487;PF13768;	Nonomuraea sp. PA05	6_3	0,85
A0A0F2QZZ6	661	79,78	PF08487;PF13768;	Desulfatitalea sp. BRH_c12	6_3	0,85
A0A2N2GH10	776	79,51	PF08487;PF13768;	Deltaproteobacteria bacterium HGW-Deltaproteobacteria-6	6_3	0,85
A0A1H9A9I2	791	79,36	PF08487;PF13768;	Lentzea flaviverrucosa	6_3	0,85
A0A518AX00	746	79,28	PF08487;PF13768;	Planctomycetes bacterium Pan216	6_3	0,85
A0A838SGV7	769	79,01	PF08487;PF13768;	Nitrospirales bacterium	6_3	0,85
A0A2V5NDK5	668	78,81	PF08487;PF13768;	Verrucomicrobia bacterium	6_3	0,85
A0A3P1XLY1	676	78,49	PF08487;PF13768;	Comamonadaceae bacterium OH2545_COT-014	6_3	0,85
A0A6P2DUY1	690	78,43	PF08487;PF13768;	Variovorax sp. RA8	6_3	0,85
A0A0H4X2C9	872	78,4	PF08487;PF13768;	Myxococcus hansupus	6_3	0,85
A0A4R3TB32	738	78	PF08487;PF13768;	Novosphingobium sp. PhB57	6_3	0,85
A0A6M8F1S9	670	77,7	PF08487;PF13768;	Pseudomonas campi	6_3	0,85
A0A1W6K590	718	77,69	PF08487;PF13768;	Marinobacter salarius	6_3	0,85
A0A640NYA4	787	77,64	PF08487;PF13768;	Alteromonas sp. KUL106	6_3	0,85
A0A2E2A3L2	717	77,28	PF08487;PF13768;	Candidatus Marinimicrobia bacterium	6_3	0,85
A0A2S5ZBY9	745	76,78	PF08487;PF13768;	Marinobacter maroccanus	6_3	0,85
B8E7I3	772	76,59	PF08487;PF13768;	Shewanella baltica (strain OS223)	6_3	0,85
A0A819Y4L3	832	76,42	PF08487;PF13768;	Rotaria magnacalcarata	6_3	0,85
A0A1Q6CN60	696	76,07	PF08487;PF13768;	Thalassotalea sp. PP2-459	6_3	0,85
A0A1Y0EIE3	712	76	PF08487;PF13768;	Comamonas serinivorans	6_3	0,85
A0A178IFZ5	732	75,58	PF08487;PF13768;	Opitutaceae bacterium TSB47	6_3	0,85
A0A815G813	842	75,47	PF08487;PF13768;	Adineta ricciae (Rotifer)	6_3	0,85
H8YWK3	787	75,31	PF08487;PF13768;	Thiorhodovibrio sp. 970	6_3	0,85
A0A1C3V112	752	75,2	PF08487;PF13768;	Rhizobium lusitanum	6_3	0,85
A0A235AYT5	794	74,85	PF08487;PF13768;	Rhizobium sp. N4311	6_3	0,85
A0A2T3J9C5	739	74,67	PF08487;PF13768;	Photobacterium frigidiphilum	6_3	0,85
A0A538PG64	754	74,05	PF08487;PF13768;	Deltaproteobacteria bacterium	6_3	0,85
A0A813SPK0	852	73,62	PF08487;PF13768;	Adineta steineri	6_3	0,85
A0A816VJA6	896	73,27	PF08487;PF13768;	Rotaria magnacalcarata	6_3	0,85
I6ASY1	732	72,73	PF08487;PF13768;	Opitutaceae bacterium TAV1	6_3	0,85
A0A819P233	847	72,46	PF08487;PF13768;	Rotaria sp. Silwood1	6_3	0,85
A0A3D8M2I2	694	72,1	PF08487;PF13768;	Alteromonas aestuariivivens	6_3	0,85
