A0A0H2UQ73,Niacin transporter NiaX,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),Brak InterPro kodów dla tego białka.,imex:IM-18537|psi-mi:"MI:0946"|pubmed:23267104
P0AA39,Ribosomal large subunit pseudouridine synthase C,Escherichia coli (strain K12),IPR020103|IPR006224|IPR006225|IPR006145|IPR050188|IPR002942|IPR036986,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0AAS7,Putative RNA-binding protein YbcJ,Escherichia coli (strain K12),IPR036986,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0AAY6,Uncharacterized protein YbjN,Escherichia coli (strain K12),IPR019660,imex:IM-22059|pubmed:24561554
P0ABH0,Cell division protein FtsA,Escherichia coli (strain K12),IPR043129|IPR020823|IPR050696|IPR003494,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0ABS5,DNA primase,Escherichia coli (strain K12),IPR016136|IPR037068|IPR019475|IPR006295|IPR013173|IPR036977|IPR030846|IPR013264|IPR050219|IPR034151|IPR006171|IPR002694,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0ABS8,DNA polymerase III subunit theta,Escherichia coli (strain K12),IPR009052|IPR036745,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0ACF0,DNA-binding protein HU-alpha,Escherichia coli (strain K12),IPR000119|IPR020816|IPR010992,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0ADF8,Acetolactate synthase isozyme 1 small subunit,Escherichia coli (strain K12),IPR004789|IPR045865|IPR002912|IPR039557|IPR054480,pubmed:16606699
P0ADK8,Uncharacterized protein YibL,Escherichia coli (strain K12),IPR021230,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0ADY7,Large ribosomal subunit protein uL16,Escherichia coli (strain K12),IPR047873|IPR000114|IPR020798|IPR016180|IPR036920,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0ADZ4,Small ribosomal subunit protein uS15,Escherichia coli (strain K12),IPR000589|IPR005290|IPR009068,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,Escherichia coli (strain K12),IPR012338|IPR015956|IPR018044|IPR012907|IPR037167|IPR001967,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0AEF4,Transcriptional regulatory protein DpiA,Escherichia coli (strain K12),IPR051271|IPR011006|IPR048714|IPR024187|IPR001789,pubmed:16606699
P0AF67,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,Escherichia coli (strain K12),IPR027417|IPR003442,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0AF78,Uncharacterized protein YjfJ,Escherichia coli (strain K12),IPR007157,pubmed:16606699
P0AFG6,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,Escherichia coli (strain K12),IPR003016|IPR050537|IPR001078|IPR000089|IPR023213|IPR036625|IPR004167|IPR011053|IPR006255,pubmed:16606699
P0AG24,Bifunctional (p)ppGpp synthase/hydrolase SpoT,Escherichia coli (strain K12),IPR045865|IPR002912|IPR012675|IPR003607|IPR006674|IPR043519|IPR004811|IPR045600|IPR060374|IPR007685|IPR004095|IPR012676|IPR033655,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0AG44,Large ribosomal subunit protein bL17,Escherichia coli (strain K12),IPR000456|IPR047859|IPR036373,pubmed:16606699
P0AG55,Large ribosomal subunit protein uL6,Escherichia coli (strain K12),IPR000702|IPR036789|IPR020040|IPR019906|IPR002358,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0AG59,Small ribosomal subunit protein uS14,Escherichia coli (strain K12),IPR001209|IPR023036|IPR018271,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0AGE0,Single-stranded DNA-binding protein,Escherichia coli (strain K12),IPR012340|IPR000424|IPR011344,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0AGK4,RNA-binding protein YhbY,Escherichia coli (strain K12),IPR001890|IPR051925|IPR017924|IPR035920,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0C018,Large ribosomal subunit protein uL18,Escherichia coli (strain K12),IPR057268|IPR005484|IPR004389,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P0CS90,Import motor subunit, mitochondrial,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR012725|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:16429126
P0DTC9,Nucleoprotein,Severe acute respiratory syndrome coronavirus 2,IPR044344|IPR044345|IPR043505|IPR001218|IPR037179|IPR037195,doi:10.1101/2020.03.31.019216|imex:IM-27901|imex:IM-29027|imex:IM-29266|imex:IM-29365|pmc:PPR138438|pubmed:32838362|pubmed:34029587|pubmed:34232536|pubmed:34578187
P0DTD1-PRO_0000449620
P0DTD1-PRO_0000449622
P0DTD1-PRO_0000449632
P10591,Heat shock protein SSA1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P10592,Heat shock protein SSA2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P10809,60 kDa heat shock protein, mitochondrial,Homo sapiens,IPR018370|IPR001844|IPR002423|IPR027409|IPR027413|IPR027410,imex:IM-26301|pubmed:29568061
P11021,Endoplasmic reticulum chaperone BiP,Homo sapiens,IPR043129|IPR042050|IPR018181|IPR029048|IPR029047|IPR013126,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
P11182,Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial,Homo sapiens,IPR003016|IPR001078|IPR050743|IPR000089|IPR023213|IPR036625|IPR004167|IPR011053,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P11215,Integrin alpha-M,Homo sapiens,IPR013517|IPR013519|IPR000413|IPR018184|IPR013649|IPR048285|IPR028994|IPR032695|IPR048633|IPR002035|IPR036465,imex:IM-25472|pubmed:32296183
P11308,Transcriptional regulator ERG,Homo sapiens,IPR000418|IPR046328|IPR003118|IPR013761|IPR036388|IPR036390,imex:IM-27626|pubmed:35914814
P11309,Serine/threonine-protein kinase pim-1,Homo sapiens,IPR011009|IPR017348|IPR051138|IPR000719|IPR017441|IPR008271,doi:10.1016/j.molcel.2020.07.001|imex:IM-29257|pubmed:32707033
P11484,Ribosome-associated molecular chaperone SSB1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P12036,Neurofilament heavy polypeptide,Homo sapiens,IPR010790|IPR018039|IPR039008,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P12036-2,Isoform 2 of Neurofilament heavy polypeptide,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P12429,Annexin A3,Homo sapiens,IPR001464|IPR018502|IPR018252|IPR037104|IPR002390,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
P12709,Glucose-6-phosphate isomerase,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR001672|IPR023096|IPR018189|IPR046348|IPR035476|IPR035482,pubmed:16429126
P13236,C-C motif chemokine 4,Homo sapiens,IPR039809|IPR000827|IPR001811|IPR036048,imex:IM-25472|pubmed:32296183
P13569,Cystic fibrosis transmembrane conductance regulator,Homo sapiens,IPR003593|IPR011527|IPR036640|IPR003439|IPR017871|IPR050173|IPR009147|IPR047082|IPR025837|IPR027417,imex:IM-27204|imex:IM-29540|pubmed:29924966|pubmed:36012204
P14081,Selenocysteine-specific elongation factor,Escherichia coli (strain K12),IPR057335|IPR004161|IPR050543|IPR015190|IPR031157|IPR027417|IPR015191|IPR000795|IPR009000|IPR009001|IPR004535|IPR036388|IPR036390|IPR048649|IPR048931,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P14091,Cathepsin E,Homo sapiens,IPR001461|IPR001969|IPR012848|IPR033121|IPR021109,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
P15005,Type IV methyl-directed restriction enzyme EcoKMcrB subunit,Escherichia coli (strain K12),IPR003593|IPR011704|IPR021961|IPR060524|IPR052934|IPR027417,imex:IM-22059|pubmed:24561554
P15082,Glucitol operon repressor,Escherichia coli (strain K12),IPR050313|IPR014036|IPR001034|IPR037171|IPR018356|IPR036388|IPR036390,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P15108,ATP-dependent molecular chaperone HSC82,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR036890|IPR003594|IPR019805|IPR037196|IPR001404|IPR020575|IPR020568,pubmed:19536198
P15130,Nucleoprotein,Human coronavirus 229E,IPR044344|IPR044345|IPR042548|IPR001218|IPR037179|IPR037195,imex:IM-29365|pubmed:34232536
P15309,Prostatic acid phosphatase,Homo sapiens,IPR033379|IPR000560|IPR029033|IPR050645,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P15770,Shikimate dehydrogenase (NADP(+)),Escherichia coli (strain K12),IPR046346|IPR036291|IPR041121|IPR011342|IPR013708|IPR022893|IPR006151,imex:IM-22059|pubmed:24561554
P15822,Zinc finger protein 40,Homo sapiens,IPR051969|IPR036236|IPR013087|IPR034729,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
P15884,Transcription factor 4,Homo sapiens,IPR011598|IPR036638|IPR051098,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P16474,Endoplasmic reticulum chaperone BiP,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR042050|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P16550,Protein APA1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR009163|IPR043171|IPR045759|IPR019200|IPR036265,pubmed:16429126
P17152,Transmembrane protein 11, mitochondrial,Homo sapiens,IPR026120,imex:IM-25472|pubmed:32296183
P17443,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,Escherichia coli (strain K12),IPR006009|IPR007235|IPR004276,doi:10.1038/nature03239|imex:IM-21967|imex:IM-22059|mint:MINT-5217509|pubmed:15690043|pubmed:24561554
P17900,Ganglioside GM2 activator,Homo sapiens,IPR028996|IPR036846|IPR003172,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P18431-3,Isoform SGG39 of Protein kinase shaggy,Drosophila melanogaster,Brak InterPro kodów dla tego białka.,imex:IM-16527|pubmed:25294943
P18847,Cyclic AMP-dependent transcription factor ATF-3,Homo sapiens,IPR000837|IPR004827|IPR046347,imex:IM-30532|pubmed:38884001
P19882,Heat shock protein 60, mitochondrial,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR018370|IPR001844|IPR002423|IPR027409|IPR027413|IPR027410,pubmed:16429126
P20930,Filaggrin,Homo sapiens,IPR011992|IPR018247|IPR002048|IPR003303|IPR034325|IPR052503|IPR001751|IPR013787,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P20933,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,Homo sapiens,IPR029055|IPR000246,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P21499,Ribonuclease R,Escherichia coli (strain K12),IPR011129|IPR040476|IPR012340|IPR013223|IPR001900|IPR022966|IPR004476|IPR011805|IPR013668|IPR050180|IPR003029,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P21513,Ribonuclease E,Escherichia coli (strain K12),IPR012340|IPR021968|IPR019307|IPR028878|IPR004659|IPR048583|IPR003029,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P21645,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,Escherichia coli (strain K12),IPR001451|IPR018357|IPR007691|IPR011004|IPR020573,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P22492,Histone H1t,Homo sapiens,IPR005819|IPR005818|IPR036388|IPR036390,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P22528,Cornifin-B,Homo sapiens,IPR060016,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P23116,Eukaryotic translation initiation factor 3 subunit A,Mus musculus,IPR027512|IPR054711|IPR000717,imex:IM-24272|pubmed:26496610
P23293,Serine/threonine-protein kinase BUR1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR050108|IPR011009|IPR000719|IPR017441|IPR008271,pubmed:16429126
P23481,Hydrogenase-4 component A,Escherichia coli (strain K12),IPR017896|IPR017900|IPR050294,pubmed:16606699
P23508,Colorectal mutant cancer protein,Homo sapiens,IPR040171|IPR019536,pubmed:17353931
P23786,Carnitine O-palmitoyltransferase 2, mitochondrial,Homo sapiens,IPR000542|IPR042572|IPR023213|IPR039551|IPR042231,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P23830,CDP-diacylglycerol--serine O-phosphatidyltransferase PssA,Escherichia coli (strain K12),IPR016270|IPR025202|IPR001736,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P24173,Lipopolysaccharide heptosyltransferase 1,Escherichia coli (strain K12),IPR002201|IPR011908|IPR051199,pubmed:16606699
P25491,Mitochondrial protein import protein MAS5,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR012724|IPR002939|IPR001623|IPR018253|IPR044713|IPR008971|IPR001305|IPR036410|IPR036869,pubmed:19536198
P25586,KRR1 small subunit processome component,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR004087|IPR036612|IPR041174|IPR048550|IPR048548|IPR048549|IPR024166,pubmed:12150911|pubmed:16429126
P25635,Periodic tryptophan protein 2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR024977|IPR027145|IPR011047|IPR007148|IPR015943|IPR020472|IPR019775|IPR036322|IPR001680,pubmed:12150911|pubmed:16429126
P26196,Probable ATP-dependent RNA helicase DDX6,Homo sapiens,IPR011545|IPR014001|IPR001650|IPR027417|IPR000629|IPR014014,imex:IM-30059|pubmed:39251607
P27241,Probable 3-deoxy-manno-octulosonic acid transferase,Escherichia coli (strain K12),IPR060654|IPR031026,pubmed:16606699
P27431,Ribosomal protein uL16 3-hydroxylase,Escherichia coli (strain K12),IPR003347|IPR039994|IPR046799,pubmed:16606699
P27635,Large ribosomal subunit protein uL16,Homo sapiens,IPR047873|IPR018255|IPR016180|IPR001197|IPR036920,imex:IM-24272|pubmed:26496610
P28043,Plasmid-derived single-stranded DNA-binding protein,Escherichia coli,IPR012340|IPR000424|IPR011344,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P28630,DNA polymerase III subunit delta,Escherichia coli (strain K12),IPR008921|IPR032780|IPR010372|IPR005790|IPR027417,imex:IM-22059|pubmed:24561554
P28631,DNA polymerase III subunit delta',Escherichia coli (strain K12),IPR008921|IPR004622|IPR015199|IPR050238|IPR048731|IPR027417,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P29034,Protein S100-A2,Homo sapiens,IPR011992|IPR018247|IPR002048|IPR034325|IPR001751|IPR013787,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P29208,o-succinylbenzoate synthase,Escherichia coli (strain K12),IPR036849|IPR029017|IPR029065|IPR013342|IPR010196|IPR041338,pubmed:16606699
P29508,Serpin B3,Homo sapiens,IPR023795|IPR023796|IPR000215|IPR036186|IPR042178|IPR042185,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P29972,Aquaporin-1,Homo sapiens,IPR023271|IPR023274|IPR034294|IPR000425|IPR022357,imex:IM-25472|pubmed:32296183
P30128,Transcription elongation factor GreB,Escherichia coli (strain K12),IPR036953|IPR018151|IPR028624|IPR001437|IPR023459|IPR022691|IPR036805|IPR006358,pubmed:16606699
P30301,Lens fiber major intrinsic protein,Homo sapiens,IPR023271|IPR034294|IPR000425|IPR022357,imex:IM-25472|pubmed:32296183
P31025,Lipocalin-1,Homo sapiens,IPR012674|IPR002345|IPR000566|IPR002450,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P31151,Protein S100-A7,Homo sapiens,IPR011992|IPR018247|IPR002048|IPR034325|IPR001751|IPR013787,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P31806,Bifunctional NAD(P)H-hydrate repair enzyme Nnr,Escherichia coli (strain K12),IPR017953|IPR000631|IPR030677|IPR029056|IPR004443|IPR036652,doi:10.1038/nature03239|imex:IM-21967|imex:IM-22059|mint:MINT-5217509|pubmed:15690043|pubmed:24561554
P32169,Rhamnulose-1-phosphate aldolase,Escherichia coli (strain K12),IPR050197|IPR001303|IPR036409|IPR013447,pubmed:16606699
P32337,Importin subunit beta-3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR011989|IPR016024|IPR040122|IPR041653|IPR040928|IPR041389|IPR057672,pubmed:16429126
P32357,A1 cistron-splicing factor AAR2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR007946|IPR033648|IPR038514|IPR033647|IPR038516,pubmed:16429126
P32493,ATPase expression protein 1, mitochondrial,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR031467,pubmed:16429126
P32495,H/ACA ribonucleoprotein complex subunit NHP2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR050257|IPR002415|IPR029064|IPR004037|IPR004038|IPR018492,pubmed:16429126
P32582,Cystathionine beta-synthase,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR046353|IPR000644|IPR046342|IPR050214|IPR005857|IPR001216|IPR001926|IPR036052,pubmed:16429126
P32589,Heat shock protein homolog SSE1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P32598,Serine/threonine-protein phosphatase PP1-2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR004843|IPR029052|IPR050341|IPR006186|IPR031675,imex:IM-14085|pubmed:21179020
P33316,Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial,Homo sapiens,IPR008181|IPR029054|IPR036157|IPR033704,imex:IM-13779|pubmed:20711500
P33322,H/ACA ribonucleoprotein complex subunit CBF5,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR012960|IPR020103|IPR002501|IPR002478|IPR015947|IPR036974|IPR004802|IPR032819|IPR004521,pubmed:16429126
P33362,Glycine betaine-binding protein YehZ,Escherichia coli (strain K12),IPR007210,pubmed:16606699
P33416,Heat shock protein 78, mitochondrial,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR003593|IPR003959|IPR019489|IPR001270|IPR018368|IPR028299|IPR041546|IPR050130|IPR027417,pubmed:19536198
P33469,Nucleoprotein,Human coronavirus OC43,IPR044344|IPR044345|IPR043505|IPR001218|IPR037179|IPR037195,imex:IM-29365|pubmed:34232536
P35221,Catenin alpha-1,Homo sapiens,IPR036723|IPR001033|IPR006077|IPR000633,imex:IM-30532|pubmed:38884001
P35321,Cornifin-A,Homo sapiens,IPR060016,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P35613,Basigin,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR003599|IPR003598,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P35613-2,Isoform 2 of Basigin,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P35869,Aryl hydrocarbon receptor,Homo sapiens,IPR039091|IPR033348|IPR011598|IPR036638|IPR001610|IPR000014|IPR035965|IPR013767|IPR013655,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P36160,Ribosome biogenesis protein RPF2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR007109|IPR039770,imex:IM-24489|pubmed:23788678
P36520,Large ribosomal subunit protein uL15m,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR030878|IPR021131|IPR036227|IPR005749,pubmed:16429126
P36531,Large ribosomal subunit protein bL31m,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR034600|IPR048874,pubmed:16429126
P36639,Oxidized purine nucleoside triphosphate hydrolase,Homo sapiens,IPR003563|IPR020476|IPR015797|IPR020084|IPR000086,pubmed:17353931
P36979,Dual-specificity RNA methyltransferase RlmN,Escherichia coli (strain K12),IPR013785|IPR040072|IPR048641|IPR027492|IPR004383|IPR007197|IPR058240,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P37146,Ribonucleoside-diphosphate reductase 2 subunit beta,Escherichia coli (strain K12),IPR009078|IPR012348|IPR026494|IPR033909|IPR030475|IPR000358,pubmed:16606699
P37182,Hydrogenase 2 maturation protease,Escherichia coli (strain K12),IPR004419|IPR023430|IPR000671,pubmed:16606699
P37246,Brak nazwy,Brak organizmu,Brak InterPro kodów dla tego białka.,pubmed:16606699
P37651,Endoglucanase,Escherichia coli (strain K12),IPR008928|IPR012341|IPR002037|IPR019834,pubmed:16606699
P37765,Ribosomal large subunit pseudouridine synthase B,Escherichia coli (strain K12),IPR020103|IPR006145|IPR000748|IPR018496|IPR050343|IPR002942|IPR036986,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P37898,Alanine/arginine aminopeptidase,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR045357|IPR042097|IPR024571|IPR034016|IPR001930|IPR050344|IPR014782|IPR027268,imex:IM-24623|pubmed:16429126|pubmed:22034500
P38193,Serine/threonine-protein phosphatase 4 regulatory subunit 2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR015267,pubmed:16429126
P38199,Heterogeneous nuclear rnp K-like protein 2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR004087|IPR004088|IPR036612,pubmed:16429126
P38333,Essential nuclear protein 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR007955,pubmed:12150911|pubmed:16429126
P38646,Stress-70 protein, mitochondrial,Homo sapiens,IPR043129|IPR012725|IPR018181|IPR029048|IPR029047|IPR013126,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P38882,U3 small nucleolar RNA-associated protein 9,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR015943,pubmed:12150911|pubmed:16429126
P38891,Branched-chain-amino-acid aminotransferase, mitochondrial,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR001544|IPR018300|IPR036038|IPR005786|IPR043132|IPR043131|IPR033939,pubmed:16429126
P38911,Peptidyl-prolyl cis-trans isomerase,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR041232|IPR046357|IPR001179|IPR023566,imex:IM-14085|pubmed:21179020
P39077,T-complex protein 1 subunit gamma,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR012719|IPR017998|IPR002194|IPR002423|IPR027409|IPR027413|IPR027410|IPR053374|IPR054827,pubmed:19536198
P39079,T-complex protein 1 subunit zeta,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR012722|IPR017998|IPR002194|IPR002423|IPR027409|IPR027413|IPR027410,pubmed:19536198
P39960,GTPase-activating protein BEM2/IPL2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR011993|IPR001849|IPR000651|IPR023578|IPR001895|IPR036964|IPR050729|IPR008936|IPR000198,pubmed:16429126
P40150,Ribosome-associated molecular chaperone SSB2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR043129|IPR018181|IPR029048|IPR029047|IPR013126,pubmed:19536198
P40207,Ergosterol biosynthesis protein 29,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Brak InterPro kodów dla tego białka.,pubmed:16429126
P40259-2,Isoform Short of B-cell antigen receptor complex-associated protein beta chain,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P40413,T-complex protein 1 subunit epsilon,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR012718|IPR017998|IPR002194|IPR002423|IPR027409|IPR027413|IPR027410|IPR053374|IPR054827,pubmed:19536198
P41181,Aquaporin-2,Homo sapiens,IPR023271|IPR034294|IPR000425|IPR022357,imex:IM-25472|pubmed:32296183
P41218,Myeloid cell nuclear differentiation antigen,Homo sapiens,IPR004020|IPR011029|IPR040205|IPR004021|IPR012340,imex:IM-23523|pubmed:25665578
P42184,PRS fimbrial major pilin protein,Escherichia coli,IPR000259|IPR036937|IPR008966|IPR050263,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P42945,U3 small nucleolar RNA-associated protein 10,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR011989|IPR016024|IPR012954|IPR021133|IPR056473|IPR022125|IPR040191,pubmed:12150911|pubmed:16429126
P43329,ATP-dependent RNA helicase HrpA,Escherichia coli (strain K12),IPR003593|IPR011709|IPR011545|IPR048333|IPR007502|IPR014001|IPR001650|IPR024590|IPR027417|IPR010222,doi:10.1038/nature03239|imex:IM-21967|mint:MINT-5217509|pubmed:15690043
P46199,Translation initiation factor IF-2, mitochondrial,Homo sapiens,IPR053905|IPR044145|IPR027417|IPR005225|IPR000795|IPR000178|IPR015760|IPR023115|IPR036925|IPR009000,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
P46379,Large proline-rich protein BAG6,Homo sapiens,IPR021925|IPR048926|IPR000626|IPR029071|IPR019954,imex:IM-24272|pubmed:26496610
P46988,Prefoldin subunit 1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR002777|IPR009053,pubmed:19536198
P47047,ATP-dependent RNA helicase DOB1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR025696|IPR011545|IPR014001|IPR001650|IPR048392|IPR027417|IPR011254|IPR050699|IPR016438|IPR012961,imex:IM-29638|pubmed:37070168
P48353,Protein HLJ1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR001623|IPR018253|IPR051100|IPR036869,pubmed:19536198
P48681,Nestin,Homo sapiens,IPR018039|IPR039008|IPR031211,imex:IM-24272|pubmed:26496610
P49356,Protein farnesyltransferase subunit beta,Homo sapiens,IPR026872|IPR045089|IPR001330|IPR008930,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
P49638,Alpha-tocopherol transfer protein,Homo sapiens,IPR001251|IPR036865|IPR011074|IPR036273,imex:IM-25472|pubmed:32296183
P50914,Large ribosomal subunit protein eL14,Homo sapiens,IPR014722|IPR039660|IPR002784|IPR008991,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
P51608,Methyl-CpG-binding protein 2,Homo sapiens,IPR016177|IPR017353|IPR045138|IPR001739,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
