A0A142I5B9,Genome polyprotein,Zika virus (isolate ZIKV/Human/Cambodia/FSS13025/2010),IPR043502|IPR000069|IPR038302|IPR013755|IPR001122|IPR037172|IPR011492|IPR027287|IPR026470|IPR038345|IPR011998|IPR001157|IPR000752|IPR000487|IPR001850|IPR000404|IPR001528|IPR046811|IPR002535|IPR038688|IPR047530|IPR000208|IPR000336|IPR014412|IPR036253|IPR038055|IPR013756|IPR014001|IPR001650|IPR014756|IPR026490|IPR049486|IPR027417|IPR009003|IPR007094|IPR002877|IPR029063,imex:IM-26452|pubmed:30177828
Q9H9Z2,Protein lin-28 homolog A,Homo sapiens,IPR011129|IPR002059|IPR051373|IPR054081|IPR012340|IPR001878|IPR036875,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9HC36,rRNA methyltransferase 3, mitochondrial,Homo sapiens,IPR029028|IPR053888|IPR029064|IPR051259|IPR001537|IPR013123|IPR029026,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9HD33,Large ribosomal subunit protein uL29m,Homo sapiens,IPR038340|IPR010729,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9HD33-2,Isoform 2 of Large ribosomal subunit protein uL29m,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9NGT3,Mitotic spindle assembly checkpoint protein MAD2A,Caenorhabditis elegans,IPR003511|IPR036570|IPR045091,imex:IM-16523|mint:MINT-5216848|pubmed:14704431
Q9NQ50,Large ribosomal subunit protein mL40,Homo sapiens,IPR019192|IPR039145,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9NRX2,Large ribosomal subunit protein bL17m,Homo sapiens,IPR000456|IPR036373,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9NUL7,Probable ATP-dependent RNA helicase DDX28,Homo sapiens,IPR011545|IPR050079|IPR014001|IPR001650|IPR027417|IPR014014,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NVS2,Large ribosomal subunit protein mL66,Homo sapiens,IPR001648|IPR036870,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9NWT8,Small ribosomal subunit protein bS22, mitochondrial,Homo sapiens,IPR013177,imex:IM-26301|pubmed:29568061
Q9NWU5,Large ribosomal subunit protein uL22m,Homo sapiens,IPR001063|IPR047867|IPR036394,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9NX20,Large ribosomal subunit protein uL16m,Homo sapiens,IPR047873|IPR000114|IPR016180|IPR036920,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9NYK5,Large ribosomal subunit protein mL39,Homo sapiens,IPR012675|IPR050062|IPR004095|IPR012676|IPR018163,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NYK5-2,Isoform 2 of Large ribosomal subunit protein mL39,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9NZE8,Large ribosomal subunit protein bL35m,Homo sapiens,IPR021137|IPR037229|IPR019338,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9P015,Large ribosomal subunit protein uL15m,Homo sapiens,IPR030878|IPR021131|IPR036227|IPR005749,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9P0J1,[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial,Homo sapiens,IPR015655|IPR000222|IPR036457|IPR001932,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9P0M9,Large ribosomal subunit protein bL27m,Homo sapiens,IPR001684,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9UIH9,Krueppel-like factor 15,Homo sapiens,IPR036236|IPR013087,imex:IM-28767|pubmed:35140242
Q9UL12,Sarcosine dehydrogenase, mitochondrial,Homo sapiens,IPR006076|IPR036188|IPR032503|IPR028896|IPR029043|IPR013977|IPR006222|IPR027266,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9UNX3,Ribosomal protein uL24-like,Homo sapiens,IPR005824|IPR014722|IPR005825|IPR005756|IPR041988|IPR008991,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9VYG2,Brahma-associated protein of 60 kDa,Drosophila melanogaster,IPR038041|IPR019835|IPR036885|IPR003121,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
Q9W0M6,DUF1308 domain-containing protein,Drosophila melanogaster,IPR010733|IPR041076,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
Q9W1V2,Tektin,Drosophila melanogaster,IPR048256|IPR000435,imex:IM-16524|mint:MINT-5216804|pubmed:14605208
Q9Y2R5,Small ribosomal subunit protein uS17m,Homo sapiens,IPR012340|IPR000266|IPR039193,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9Y2T7,Y-box-binding protein 2,Homo sapiens,IPR050181|IPR011129|IPR019844|IPR002059|IPR012340,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9Y2Z4,Tyrosine--tRNA ligase, mitochondrial,Homo sapiens,IPR001412|IPR002305|IPR014729|IPR036986|IPR002307|IPR024088,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9Y3B7,Large ribosomal subunit protein uL11m,Homo sapiens,IPR000911|IPR006519|IPR020783|IPR036769|IPR020784|IPR036796,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9Y3B7-2,Isoform 2 of Large ribosomal subunit protein uL11m,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9Y4X4,Krueppel-like factor 12,Homo sapiens,IPR036236|IPR013087,imex:IM-28767|pubmed:35140242
Q9Y6E7,NAD-dependent protein lipoamidase sirtuin-4, mitochondrial,Homo sapiens,IPR029035|IPR050134|IPR003000|IPR026591|IPR026587|IPR026590,imex:IM-24062|pubmed:25525879
Q9Y6G3,Large ribosomal subunit protein mL42,Homo sapiens,IPR019346,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
intact:EBI-124271
intact:EBI-16769503
intact:EBI-22235520
intact:EBI-25396130
intact:EBI-25396136
intact:EBI-25396200
