#Knot_type	Category	Uniprot	Organism	pLDDT_knotcore	Protein_name	InterPro	Gene_name	#FILTER: InterPro=IPR003929 AND Category=AF4;
5_2	AF4	A0A1D1VP35-F1	Water bear	74.7	Maxi K channel	IPR003929,IPR013099,IPR036291	RvY_11161 RvY_11161.1 RvY_11161-1
3_1	AF4	A0A667YQK6-F1	pinecone soldierfish	78.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A5F9DF42-F1	Rabbit	78.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A6J2GWJ3-F1	Wire-tailed manakin	78.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	E3VRZ1-F1	Mouse	78.8	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	Kcnma1
3_1	AF4	A0A668AQL7-F1	pinecone soldierfish	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC115372769
3_1	AF4	A0A4W4HR07-F1	Electric eel	78.7	Calcium-activated potassium channel subunit alpha-1 (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Slo-alpha) (Slo1) (Slowpoke homolog)	IPR003929,IPR036291	KCNMA1
3_1	AF4	A0A669BN77-F1	Nile tilapia	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A2R8MSN6-F1	White-tufted-ear marmoset	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A3P9DSC0-F1	zebra mbuna	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	
3_1	AF4	A0A672H028-F1	Jewelled blenny	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC115393585
3_1	AF4	A0A4W2CDA2-F1	Hybrid cattle	78.7	Potassium calcium-activated channel subfamily U member 1	IPR003929,IPR005821,IPR036291	
3_1	AF4	A0A7J8GAF9-F1	Egyptian rousette	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	HJG63_007120
3_1	AF4	A0A2I4AYG8-F1	Austrofundulus limnaeus	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	kcnma1
3_1	AF4	A0A6J0DP80-F1	Prairie deer mouse	78.7	potassium channel subfamily U member 1	IPR003929,IPR005821,IPR036291	Kcnu1
3_1	AF4	A0A2J8NU10-F1	Chimpanzee	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A7L3AS48-F1	Pallas's sandgrouse	78.7	KCNT1 protein	IPR003929,IPR013099	Kcnt1 SYRPAR_R06382
3_1	AF4	A0A077Z040-F1	Whipworm	78.7	BK channel (Maxi K channel)	IPR003929,IPR005821,IPR027359	TTRE_0000160801
3_1	AF4	A0A2J8U5D4-F1	Sumatran orangutan	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	CR201_G0030157
3_1	AF4	A0A6J2GWI6-F1	Wire-tailed manakin	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	V4B1X9-F1	Giant owl limpet	78.7	Maxi K channel	IPR003929,IPR013099,IPR036291	LOTGIDRAFT_111687
3_1	AF4	A0A2U3ZIM9-F1	Pacific walrus	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A3P8PV53-F1	Eastern happy	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	
3_1	AF4	A0A671FWK1-F1	Greater horseshoe bat	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A6J2DC19-F1	California sealion	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A3Q3AZ18-F1	Mangrove killifish	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A3P9J8P7-F1	Japanese rice fish	78.7	Calcium-activated potassium channel subunit alpha-1 (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Slo-alpha) (Slo1) (Slowpoke homolog)	IPR003929,IPR013099,IPR027359,IPR036291	
3_1	AF4	A0A2I2YI10-F1	Western lowland gorilla	78.7	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A2J8N813-F1	Chimpanzee	78.7	KCNU1 isoform 2	IPR003929,IPR005821	CK820_G0013155
3_1	AF4	A0A016V1I0-F1	Ancylostoma ceylanicum	78.7	Potassium channel subfamily T member 2	IPR003929,IPR013099,IPR036291	Acey_s0021.g271 Acey-slo-2 Y032_0021g271
3_1	AF4	A0A452TUS5-F1	Polar bear	78.7	Potassium calcium-activated channel subfamily U member 1	IPR003929,IPR005821	KCNU1
3_1	AF4	A0A0V1CP64-F1	Parasitic roundworm	78.6	BK channel (Maxi K channel)	IPR003929,IPR005821,IPR027359,IPR036291	slo-1 T03_1021
3_1	AF4	A0A1S3N5G8-F1	Atlantic salmon	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC106577193
3_1	AF4	A0A6J2GWL6-F1	Wire-tailed manakin	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A6J2GX23-F1	Wire-tailed manakin	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A443STE4-F1	Leptotrombidium deliense	78.6	Calcium-activated potassium channel slowpoke-like isoform X10	IPR003929,IPR013099,IPR036291	B4U80_05130
3_1	AF4	A0A6J1ZM50-F1	Cheetah	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A668USR4-F1	Israeli tilapia	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821	
3_1	AF4	A0A671RQZ3-F1	Sinocyclocheilus anshuiensis	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC107676421
3_1	AF4	A0A093E932-F1	Red-crested turaco	78.6	Calcium-activated potassium channel subunit alpha-1 (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Slo-alpha) (Slo1) (Slowpoke homolog)	IPR003929,IPR013099,IPR036291	N340_14513
3_1	AF4	A0A673G3Z0-F1	Sinocyclocheilus rhinocerous	78.6	Calcium-activated potassium channel subunit alpha-1 (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Slo-alpha) (Slo1) (Slowpoke homolog)	IPR003929,IPR013099,IPR036291	LOC107748344
3_1	AF4	A0A7J7UX23-F1	Greater horseshoe bat	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	mRhiFer1_007212
3_1	AF4	A0A0A0ARN7-F1	Killdeer	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	N301_04258
3_1	AF4	A0A452QQP0-F1	American black bear	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A673TAB2-F1	Meerkat	78.6	Potassium calcium-activated channel subfamily U member 1	IPR003929,IPR013099,IPR027359,IPR036291	
3_1	AF4	A0A2I0MF92-F1	Rock dove	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1 A306_00005129
3_1	AF4	A0A1S3N5F7-F1	Atlantic salmon	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC106577193
3_1	AF4	A0A093GE02-F1	Downy woodpecker	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	N307_06049
3_1	AF4	A0A665X294-F1	Live sharksucker	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC115055457
3_1	AF4	A0A7N6C2C3-F1	Climbing perch	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	
3_1	AF4	A0A3Q7MHF6-F1	Northern fur seal	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC112807631 LOC112807541
3_1	AF4	A0A819DHD0-F1	Adineta steineri	78.6	Hypothetical protein	IPR003929,IPR013099,IPR027359,IPR036291	OKA104_LOCUS20507 VCS650_LOCUS16738
3_1	AF4	A0A455AZK9-F1	Sperm whale	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A7J8DQA0-F1	Pallas' mastiff bat	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	HJG59_007164
3_1	AF4	A0A452QQ95-F1	American black bear	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A2K6N6S3-F1	Black snub-nosed monkey	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A7R5K612-F1	Wire-tailed manakin	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A6J2GWX5-F1	Wire-tailed manakin	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A3Q1G0B7-F1	spiny chromis	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	
3_1	AF4	A0A1A7XH27-F1	Iconisemion striatum	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1A
3_1	AF4	A0A2I0MF68-F1	Rock dove	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1 A306_00005129
3_1	AF4	A0A672RPK8-F1	Dianchi golden-line fish	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC107582501
3_1	AF4	A0A2I0MF70-F1	Rock dove	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1 A306_00005129
3_1	AF4	A0A7J8DWX3-F1	Egyptian rousette	78.6	Potassium calcium-activated channel subfamily U member 1	IPR003929,IPR005821,IPR036291	HJG63_007139
3_1	AF4	A0A6J1ZNE1-F1	Cheetah	78.6	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A2K5ZF14-F1	Drill	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A4W5NMM4-F1	huchen	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	
3_1	AF4	A0A6J0GL25-F1	blue-crowned manakin	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A2K6DQU9-F1	Pig-tailed macaque	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A673A2X6-F1	orbiculate cardinalfish	78.5	Potassium channel, subfamily T, member 1	IPR003929,IPR013099	
3_1	AF4	A0A3Q3IVA6-F1	Swamp eel	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	
3_1	AF4	A0A672RR84-F1	Dianchi golden-line fish	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC107582501
3_1	AF4	G3P281-F1	Three-spined stickleback	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	
3_1	AF4	A0A814ERR8-F1	Adineta steineri	78.5	Hypothetical protein	IPR003929,IPR013099,IPR027359,IPR036291	IZO911_LOCUS16044 JYZ213_LOCUS21218
3_1	AF4	A0A3B0K0H5-F1	Fruit fly	78.5	BK channel (Maxi K channel)	IPR003929,IPR005821,IPR027359,IPR036291	DGUA_6G006303
3_1	AF4	A0A3Q3B6K9-F1	Mangrove killifish	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	
3_1	AF4	A0A668TIM0-F1	Israeli tilapia	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	
3_1	AF4	A0A6P7PTX4-F1	Siamese fighting fish	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC114870627
3_1	AF4	A0A3B4YUB6-F1	Seriola lalandi	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	
3_1	AF4	A0A6P7JNT6-F1	Indian glassy fish	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC114446838
3_1	AF4	A0A671TD36-F1	Sinocyclocheilus anshuiensis	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC107678532
3_1	AF4	A0CBF1-F1	Paramecium tetraurelia	78.5	Chromosome undetermined scaffold_164, whole genome shotgun sequence	IPR003929,IPR005821,IPR036291	GSPATT00036901001
3_1	AF4	A0A1I8GGE5-F1	Macrostomum lignano	78.5	Maxi K channel	IPR003929,IPR013099	
3_1	AF4	A0A151MSZ3-F1	American alligator	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	Y1Q_0005194
3_1	AF4	E3VRY8-F1	Mouse	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	Kcnma1
3_1	AF4	A0A3B3I3K9-F1	Japanese rice fish	78.5	Potassium channel subfamily T member 1	IPR003929,IPR013099,IPR036291	KCNT1
3_1	AF4	A0A2I0MF53-F1	Rock dove	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1 A306_00005129
3_1	AF4	A0A6F9A9F9-F1	Coregonus sp	78.5	Si:dkey-21e5.1	IPR003929,IPR013099,IPR036291	CSTEINMANNI_LOCUS890910
3_1	AF4	A0A3B3ZB91-F1	Periophthalmus magnuspinnatus	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	
3_1	AF4	A0A6Q2Z5L1-F1	Northern pike	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	
3_1	AF4	A0A1S3T3L5-F1	Atlantic salmon	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC106613356
3_1	AF4	A0A0V1B154-F1	Trichina worm	78.5	BK channel (Maxi K channel)	IPR003929,IPR005821,IPR036291	slo-1 T01_1602
3_1	AF4	A0A6J0GKR7-F1	blue-crowned manakin	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A673CUT7-F1	orbiculate cardinalfish	78.5	Si:dkey-21e5.1	IPR003929,IPR013099,IPR036291	
3_1	AF4	A0A0V1IPT5-F1	Parasitic roundworm	78.5	Calcium-activated potassium channel slo-1	IPR003929,IPR013099,IPR036291	slo-1 T4B_15543
3_1	AF4	A0A6I8TRG8-F1	Yellowfever mosquito	78.5	BK channel (Maxi K channel)	IPR003929,IPR005821,IPR036291	5578934
3_1	AF4	A0A2K5VSE3-F1	Crab-eating macaque	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	KCNMA1
3_1	AF4	A0A4W3HPV0-F1	Ghost shark	78.5	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003148,IPR003929,IPR005821,IPR036291	kcnma1
3_1	AF4	A0A6P7L5L4-F1	Siamese fighting fish	78.4	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (Slo-alpha...	IPR003929,IPR005821,IPR036291	LOC114845677
3_1	AF4	A0A814SPS1-F1	Adineta steineri	78.4	Hypothetical protein	IPR003929,IPR013099,IPR027359,IPR036291	QVE165_LOCUS22971
