#Knot_type	Category	Uniprot	Organism	pLDDT_knotcore	Protein_name	InterPro	Gene_name	#FILTER: InterPro=IPR036901;IPR006131 AND Category=AF4;
4_1	AF4	A0A7J6WXD7-F1	Rue-anemone	77.7	Aspartate carbamoyltransferase (EC 2.1.3.2)	IPR002082,IPR006130,IPR006131,IPR006132,IPR036901	FRX31_008300
3_1	AF4	A0A7Y3UCI5-F1	Planctomycetes bacterium	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' HND57_17325
3_1	AF4	A0A5M5PDH7-F1	Bacteroides fragilis	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' F3B44_09230
3_1	AF4	A0A0R2P833-F1	SAR86 cluster	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' ABR59_00315
3_1	AF4	A0A3A5RP20-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DW896_10640
3_1	AF4	A0A416W3B0-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DWW69_04495
3_1	AF4	A0A7Y2XS86-F1	Xanthomonadales bacterium	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' HKP21_09415
3_1	AF4	A0A4P2QE18-F1	Polyangium cellulosum	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' SOCE836_000930
3_1	AF4	A0A0I9SBP5-F1	Bacteroides fragilis	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' BUN20_21630 DW228_13180 DWW08_14295 DXB57_22525 EE52_006060 EE52_0204500 FOC69_13790 IA74_005670
3_1	AF4	A0A7Y3F187-F1	Xanthomonadales bacterium	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' HKO88_11035
3_1	AF4	A0A2M7D481-F1	Xanthomonadales bacterium	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' COS34_00950
3_1	AF4	A0A7C2K6V7-F1	Mizugakiibacter sp	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' ENI75_00775
3_1	AF4	A0A3A5YWX8-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DWY55_20190
3_1	AF4	A0A7X9S8F9-F1	Bacteroides eggerthii	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' HF841_00740
3_1	AF4	A0A0R2UW17-F1	SAR86 cluster	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' ABS09_02965
3_1	AF4	E6SUE1-F1	Bacteroides helcogenes 	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' Bache_0330
3_1	AF4	A0A520R9I4-F1	Parvularculaceae bacterium	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' EVA70_05450
3_1	AF4	A0A522GZ88-F1	Rhodanobacter sp	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' EPN74_12105
3_1	AF4	A0A7Z8P726-F1	Bacteroides zhangwenhongii	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' FOJ72_19800
3_1	AF4	A0A1Q4FP54-F1	Xanthomonadales bacterium	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' BGP25_15580
3_1	AF4	Q64Z33-F1	strain YCH46	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' BF0494
3_1	AF4	A0A3A5ZSI9-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DWX62_00675
3_1	AF4	A0A3A6BP52-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DWW30_18710
3_1	AF4	A0A1Y4HQQ1-F1	Mediterranea sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' B5F34_05330
3_1	AF4	A0A150PCH8-F1	Polyangium cellulosum	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' BE04_33165
3_1	AF4	A0A414ZCA7-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DW182_09700
3_1	AF4	A0A4Q2WYA4-F1	Xanthomonadaceae bacterium	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' EOP90_00515
3_1	AF4	A0A015W5P7-F1	B	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' M124_0395
3_1	AF4	A0A1E4L1R8-F1	Xanthomonadaceae bacterium	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' ABS96_00300
3_1	AF4	A0A3A6L0W4-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DWZ80_03495
3_1	AF4	R6B4H2-F1	Bacteroides stercoris	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' BN477_02018
3_1	AF4	A0A239PUX8-F1	Amphiplicatus metriothermophilus	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' SAMN06297382_1838
3_1	AF4	A0A4R2HUF0-F1	Dokdonella fugitiva	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' EV148_11525
3_1	AF4	A0A078SDT9-F1	Bacteroides uniformis str	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' M094_3632
3_1	AF4	A9GL64-F1	strain So ce56	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF1 argF' sce0074
3_1	AF4	A0A0R2PVN5-F1	SAR86 cluster	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' ABR63_07660
3_1	AF4	A0A545UA81-F1	Aliikangiella coralliicola	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' FLL46_15725
3_1	AF4	A0A7Y2VJ38-F1	Xanthomonadales bacterium	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9)	IPR006130,IPR006131,IPR006132,IPR036901	HKP02_00300
3_1	AF4	I9H2A2-F1	Bacteroides nordii	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' HMPREF1068_00754
3_1	AF4	A0A7V2WG87-F1	Aeromonadales bacterium	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' ENJ60_11385
3_1	AF4	A0A3A5SE35-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DW777_14355
3_1	AF4	A0A7G9T8S8-F1	Pseudoxanthomonas mexicana	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' IAE60_11140
3_1	AF4	A0A1Y4CWP8-F1	Parabacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' B5F77_12490
3_1	AF4	A0A015UC75-F1	B	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' M125_0775
3_1	AF4	E0TIE3-F1	Parvularcula bermudensis 	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' PB2503_11074
3_1	AF4	A0A412YLB1-F1	Bacteroides intestinalis	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DWW10_01085
3_1	AF4	R5K2H6-F1	Bacteroides eggerthii	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' BN464_01586
3_1	AF4	F3PI82-F1	Bacteroides clarus	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' HMPREF9445_01722
3_1	AF4	A0A1G7J794-F1	Dyella sp	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' SAMN04515659_0392
3_1	AF4	A0A1B1SCP6-F1	Muribaculum intestinale	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' A4V02_13330
3_1	AF4	I9FF66-F1	Bacteroides cellulosilyticus	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' HMPREF1062_02371
3_1	AF4	A0A4V1ESK5-F1	Bacteroides fragilis	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' IB64_005865
3_1	AF4	A0A139KUE5-F1	Bacteroides intestinalis	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' HMPREF2531_04464
3_1	AF4	A0A016AUN2-F1	Bacteroides fragilis str	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' M123_0496
3_1	AF4	A0A7Y2G4A8-F1	Marinicaulis sp	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' HKN14_03110
3_1	AF4	A0A7D7BV77-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' H1A11_13620
3_1	AF4	A0A412P062-F1	Bacteroides intestinalis	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DWX27_19645 DWZ95_19485
3_1	AF4	A0A380Z932-F1	Bacteroides eggerthii	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF argF' DW701_01360 DWZ51_09630 EAJ03_14185 NCTC11155_02903
3_1	AF4	R6LHD5-F1	Bacteroides clarus	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' BN507_01597
3_1	AF4	A0A3A5WRG4-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DWZ67_07735
3_1	AF4	E5V7W4-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DXD65_19300 HMPREF1007_00847
3_1	AF4	R5V0G3-F1	Bacteroides caccae	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' BN535_00662
3_1	AF4	A0A4Q0TZW4-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DBK98_006890
3_1	AF4	A0A833LQB0-F1	Dokdonella sp	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' F9K31_10305
3_1	AF4	A0A523EQS4-F1	Acidobacteria bacterium	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' E2O97_07950
3_1	AF4	A0A7J5LQX9-F1	Bacteroides stercoris	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' F9950_04530
3_1	AF4	A0A833HZM5-F1	Bacteroides fragilis	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' F9000_06870
3_1	AF4	A0A3N2L3K8-F1	Harlan	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' EEL34_00360
3_1	AF4	A0A3A5RLU3-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DW800_10135
3_1	AF4	A0A415IYW8-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DW036_01675
3_1	AF4	A0A523ETT2-F1	Acidobacteria bacterium	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' E2O98_03430
3_1	AF4	A0A534ABM0-F1	Gammaproteobacteria bacterium	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' E6K53_07265
3_1	AF4	A0A0E2AUI5-F1	Bacteroides fragilis	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' HMPREF1056_00535
3_1	AF4	A0A3E4KWU0-F1	Bacteroides intestinalis	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DW712_09485 DXD27_08835 EAJ06_19555
3_1	AF4	A0A7J5HE48-F1	Bacteroides uniformis	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' GAQ34_01330
3_1	AF4	A0A2E6VPJ6-F1	Myxococcales bacterium	98.6	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' CMH56_03835
3_1	AF4	A0A3E4VZW1-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DXD78_12790 HMPREF0969_02111
3_1	AF4	B0NT73-F1	Bacteroides stercoris	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' BACSTE_02689
3_1	AF4	A0A7S9QGR8-F1	Bacteroides sp	98.6	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' ITJ87_01775
3_1	AF4	D7IGS2-F1	Bacteroides sp	98.5	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' HMPREF9007_03576
3_1	AF4	A0A372UQ38-F1	Bacteroides sp	98.5	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DW640_15310
3_1	AF4	A0A4Q0IKE4-F1	NCI	98.5	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' ED388_07710
3_1	AF4	A0A372BT67-F1	Wenzhouxiangella sp	98.5	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' DZK25_12240
3_1	AF4	A0A150TU05-F1	Polyangium cellulosum	98.5	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' BE21_25160
3_1	AF4	A0A5C6HNH1-F1	Bacteroidaceae bacterium	98.5	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' FQ707_06940
3_1	AF4	A0A2Z4FPT8-F1	Bradymonas sediminis	98.5	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' DN745_16955
3_1	AF4	A7M0A6-F1	Bacteroides ovatus 	98.5	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' BACOVA_03533
3_1	AF4	A0A3L7ZHA8-F1	Parabacteroides sp	98.5	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' D7V92_01775
3_1	AF4	A0A496DTG7-F1	Parabacteroides sp	98.5	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DW945_03840
3_1	AF4	A0A413A6S0-F1	Bacteroides ovatus	98.5	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DWV35_20205 DYI28_22215 F3B85_03010
3_1	AF4	A0A4Z0V7D9-F1	Duncaniella freteri	98.5	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' EZ315_02975
3_1	AF4	A0A7Y3E6Q3-F1	Xanthomonadales bacterium	98.5	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' HKO99_13405
3_1	AF4	A0A1F0I1N7-F1	Bacteroides sp	98.5	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' HMPREF3015_07400
3_1	AF4	A0A0F5II25-F1	Parabacteroides goldsteinii	98.5	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' HMPREF1535_05081
3_1	AF4	R6S3M3-F1	Bacteroides finegoldii	98.5	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' BN532_02620
3_1	AF4	A0A496CHZ3-F1	Parabacteroides sp	98.5	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' DWW91_22325
3_1	AF4	A0A139KEV5-F1	Bacteroides thetaiotaomicron	98.5	N-succinylornithine carbamoyltransferase (EC 2.1.3.11) (N-succinyl-L-ornithine transcarbamylase) (SOTCase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043696	argF' BatF92_02120 HMPREF2534_02318
3_1	AF4	Q9PEN0-F1	strain 9a5c	98.5	N-acetylornithine carbamoyltransferase (EC 2.1.3.9) (N-acetyl-L-ornithine transcarbamylase) (AOTCase) (Acetylornithine transcarbamylase)	IPR006130,IPR006131,IPR006132,IPR036901,IPR043695	argF' XF_0998
