#Knot_type	Category	Uniprot	Organism	pLDDT_knotcore	Protein_name	InterPro	Gene_name	#FILTER: InterPro=IPR018883 AND Category=AF4;
3_1#3_1	AF4	A0A812L574-F1	Symbiodinium natans	79.5	Hypothetical protein	IPR018883	SNAT2548_LOCUS10976
3_1	AF4	A0A2G2JQJ7-F1	Oceanobacter sp	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	COA68_05405
3_1	AF4	A0A3A3D9Z8-F1	Pseudoalteromonas sp	96.7	Cadmium carbonic anhydrase	IPR018883	BGP78_08260
3_1	AF4	A0A3B0VF12-F1	hydrothermal vent	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	MNBD_GAMMA01-670
3_1	AF4	A0A4U1W7M0-F1	Vibrio sp	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	FCV53_19800
3_1	AF4	A0A379C9V9-F1	Phocoenobacter uteri	96.7	Lipoprotein	IPR018883,IPR036398	NCTC12872_00410
3_1	AF4	A0A1W6VKF9-F1	Vibrio alginolyticus	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	K08M4_38060
3_1	AF4	A0A3T0N7H5-F1	Parasedimentitalea marina	96.7	Cadmium carbonic anhydrase	IPR018883	EBB79_20105
3_1	AF4	I7EY68-F1	strain DSM 17395	96.7	CHRD domain-containing protein	IPR018883,IPR036398	PGA1_c21270
3_1	AF4	A0A2N1I068-F1	Glaciecola sp	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	CXF81_02395
3_1	AF4	A0A356U3B7-F1	Alphaproteobacteria bacterium	96.7	Carbonate dehydratase	IPR018883,IPR036398	DD656_02350 DHV03_07015
3_1	AF4	A0A368E2U2-F1	SAR116 cluster	96.7	Carbonate dehydratase	IPR018883,IPR036398	DBW67_07585
3_1	AF4	A0A1Q2GTJ3-F1	Pseudoalteromonas aliena	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	B0W48_00670
3_1	AF4	Q169G0-F1	Erythrobacter sp. 	96.7	CHRD domain-containing protein	IPR018883,IPR036398	RD1_1764
3_1	AF4	A0A4Q7IKG4-F1	Pseudoalteromonas phenolica	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	C1E23_19470
3_1	AF4	A0A523NQ45-F1	Nitrospina sp	96.7	Cadmium carbonic anhydrase	IPR018883	E2O41_03005
3_1	AF4	A0A1Q3YAY1-F1	Thiobacillus sp	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	BGO62_01725
3_1	AF4	K6ZPE3-F1	Glaciecola pallidula	96.7	Cadmium carbonic anhydrase	IPR018883,IPR036398	GPAL_3913
3_1	AF4	A0A7W4B4S6-F1	Pseudoalteromonas sp	96.6	FTP domain-containing protein	IPR018883,IPR036398	H5124_03330
3_1	AF4	D4ZG09-F1	Shewanella violacea 	96.6	Carbonic anhydrase	IPR018883,IPR036398	SVI_0637
3_1	AF4	Q48A90-F1	Vibrio psychroerythus	96.6	Cadmium carbonic anhydrase	IPR018883,IPR036398	CPS_0256
3_1	AF4	A0A1Y5TJ40-F1	Pacificibacter marinus	96.6	Signal peptide protein	IPR018883	PAM7971_03437
3_1	AF4	A0A3D4AQ89-F1	Pseudoalteromonas sp	96.6	Secreted protein	IPR018883	DIT74_05635
3_1	AF4	A0A4Q5KH65-F1	Aliivibrio finisterrensis	96.6	FTP domain-containing protein	IPR018883	ERW49_14375
3_1	AF4	A0A6B1EKU4-F1	Gammaproteobacteria bacterium	96.6	Cadmium carbonic anhydrase	IPR018883	F4036_10470 F4182_12555 F4Y31_05790
3_1	AF4	A0A2N3L1I0-F1	Thalassospira lohafexi	96.6	Secreted protein	IPR018883,IPR036398	COO92_19865
3_1	AF4	A0A369A9Q8-F1	Marinomonas foliarum	96.6	Cadmium carbonic anhydrase-like repeat protein	IPR018883	DFP77_110103
3_1	AF4	A0A0F9QDW6-F1	marine sediment	96.6	Cadmium carbonic anhydrase	IPR018883,IPR036398	LCGC14_0715240
3_1	AF4	A0A2U2C7N3-F1	Pararhodobacter marinus	96.6	DUF4198 domain-containing protein	IPR018883,IPR036398	C4N9_14685
3_1	AF4	A0A2G2I0W9-F1	Henriciella sp	96.6	Cadmium carbonic anhydrase	IPR018883	COA64_05695
3_1	AF4	A0A1E4HX23-F1	Thiobacillus sp	96.6	Cadmium carbonic anhydrase	IPR018883,IPR036398	ABS89_07660
3_1	AF4	A0A317PYP8-F1	Pseudidiomarina maritima	96.6	Cadmium carbonic anhydrase	IPR018883	DET45_1263
3_1	AF4	A0A4Z0SHN2-F1	Pseudoalteromonas sp	96.6	Cadmium carbonic anhydrase	IPR018883,IPR036398	C7Y70_14945
3_1	AF4	A0A5E8GWY8-F1	Labrenzia alexandrii	96.6	Cadmium carbonic anhydrase	IPR018883	SADFL11_779
3_1	AF4	A0LDG0-F1	Magnetococcus marinus 	96.6	Cadmium carbonic anhydrase	IPR018883	Mmc1_3518
3_1	AF4	A0A2G6EH88-F1	Gammaproteobacteria bacterium	96.6	Lipoprotein	IPR018883,IPR036398	CR974_04205
3_1	AF4	U1K960-F1	Pseudoalteromonas rubra	96.6	Cadmium carbonic anhydrase	IPR018883	PRUB_19387
3_1	AF4	A0A1M3HL24-F1	Thiobacillus sp	96.6	Cadmium carbonic anhydrase	IPR018883,IPR036398	BGO60_13930
3_1	AF4	A0A2N5Y243-F1	Kineobactrum sediminis	96.6	Secreted protein	IPR018883,IPR036398	CWI75_11925
3_1	AF4	K6Z6Q1-F1	Paraglaciecola arctica	96.6	Superoxide dismutase family protein	IPR018883,IPR036398	GARC_2158
3_1	AF4	A0A432D2Y3-F1	Vibrio aquaticus	96.6	Carbonic anhydrase	IPR018883,IPR036398	EJ063_05535
3_1	AF4	A0A7Z1KGI0-F1	Pseudoalteromonas sp	96.6	Cadmium carbonic anhydrase	IPR018883,IPR036398	CSC79_13950
3_1	AF4	A0A6L8FBN0-F1	Gammaproteobacteria bacterium	96.6	Cadmium carbonic anhydrase	IPR018883	F4X06_06805
3_1	AF4	A0A5N8UJI5-F1	Shewanella sp	96.6	Cadmium carbonic anhydrase	IPR018883,IPR036398	FS373_10385
3_1	AF4	A0A269PJB8-F1	Pseudoalteromonas sp	96.6	Exported protein	IPR018883,IPR036398	CJF42_21215
3_1	AF4	A0A368USP3-F1	Pseudidiomarina tainanensis	96.6	Cadmium carbonic anhydrase	IPR018883	DFO79_10862
3_1	AF4	A0A7W2PD92-F1	Colwellia sp	96.5	Cadmium carbonic anhydrase	IPR018883,IPR036398	H4J51_02930
3_1	AF4	A0A5S3V758-F1	Pseudoalteromonas aurantia	96.5	Cadmium carbonic anhydrase	IPR018883	CWC19_16185
3_1	AF4	A0A2N6FS82-F1	Arcobacter sp	96.5	Cadmium carbonic anhydrase	IPR018883,IPR036398	C0625_10660
3_1	AF4	A0A541BC25-F1	Pseudoalteromonas luteoviolacea	96.5	Cadmium carbonic anhydrase	IPR018883	FLM44_01920
3_1	AF4	A0A545U8G7-F1	Exilibacterium tricleocarpae	96.5	Cadmium carbonic anhydrase	IPR018883	FKG94_02155
3_1	AF4	A0A3B1AJW2-F1	hydrothermal vent	96.5	Cadmium carbonic anhydrase	IPR018883,IPR036398	MNBD_GAMMA21-2445
3_1	AF4	A0A2N7CDD2-F1	Vibrio splendidus	96.5	Cadmium carbonic anhydrase	IPR018883,IPR036398	BCV19_10235
3_1	AF4	A0A2A4GHE1-F1	Salinivibrio sp	96.5	Exported protein	IPR018883,IPR036398	B6G00_03465
3_1	AF4	A0A1Z7Z200-F1	Gammaproteobacteria bacterium	96.5	Secreted protein	IPR018883,IPR036398	A9Q81_16940
3_1	AF4	A0A6L7P807-F1	Acidobacteria bacterium	96.5	Cadmium carbonic anhydrase	IPR018883	F4228_13560
3_1	AF4	A0A3B8QU36-F1	Rhodobacteraceae bacterium	96.5	TonB-dependent receptor	IPR018883,IPR036398	DCE52_18760
3_1	AF4	A0A5S3VN40-F1	Pseudoalteromonas spongiae	96.5	Cadmium carbonic anhydrase	IPR018883,IPR036398	CWC15_06465
3_1	AF4	Q0VNZ5-F1	Alcanivorax borkumensis 	96.5	Cadmium carbonic anhydrase	IPR018883,IPR036398	ABO_1655
3_1	AF4	A0A6L7VLQ2-F1	Gammaproteobacteria bacterium	96.5	Cadmium carbonic anhydrase	IPR018883	F4W90_06510
3_1	AF4	A0A3A6QYE1-F1	Vibrio sinensis	96.5	Carbonate dehydratase	IPR018883,IPR036398	DZ860_02440
3_1	AF4	A0A850S4Q8-F1	Mariprofundus sp	96.5	Secreted protein	IPR018883,IPR036398	F3F96_06775
3_1	AF4	A0A1M4MX71-F1	Donghicola eburneus	96.5	Calcium carbonic anhydrase	IPR018883	KARMA_1331
3_1	AF4	A0A0K6IMB9-F1	Marinomonas fungiae	96.5	Cadmium carbonic anhydrase	IPR018883,IPR036398	Ga0061065_10679
3_1	AF4	A0A2E0A142-F1	Oceanospirillaceae bacterium	96.5	Cadmium carbonic anhydrase	IPR018883	CMI00_06840
3_1	AF4	A0A2E7E902-F1	Oceanospirillaceae bacterium	96.5	Cadmium carbonic anhydrase	IPR018883	CMI09_07450
3_1	AF4	A0A3T0W6F8-F1	Pseudoalteromonas sp	96.5	Cadmium carbonic anhydrase	IPR018883	ELR70_19140
3_1	AF4	A0A7L4X283-F1	Shewanella sp	96.5	Secreted protein	IPR018883,IPR036398	FS418_22170
3_1	AF4	A0A4R6MD10-F1	Marinomonas balearica	96.5	Cadmium carbonic anhydrase	IPR018883	DFP79_0415
3_1	AF4	A0A837E6T3-F1	Phaeobacter piscinae	96.5	Plastocyanin-like domain-containing protein	IPR018883,IPR036398	OL67_05115
3_1	AF4	A0A1S6HQS0-F1	Shewanella psychrophila	96.5	Carbonic anhydrase	IPR018883,IPR036398	Sps_02745
3_1	AF4	A0A7C6BD04-F1	Campylobacterales bacterium	96.5	Cadmium carbonic anhydrase	IPR018883,IPR036398	ENK82_09665 ENK95_01840
3_1	AF4	A0A7Y4D560-F1	Vibrio splendidus	96.5	Cadmium carbonic anhydrase	IPR018883,IPR036398	F0234_08680
3_1	AF4	A0A7W4B0U3-F1	Shewanella sp	96.5	Secreted protein	IPR018883,IPR036398	H5185_14365
3_1	AF4	H2G072-F1	Oceanimonas sp. 	96.5	Cadmium carbonic anhydrase	IPR018883,IPR036398	GU3_01565
3_1	AF4	A0A2T7HJE9-F1	Labrenzia sp	96.4	Secreted protein	IPR018883,IPR036398	DCO57_01120
3_1	AF4	A0A0P9I2C0-F1	Pseudoalteromonas sp	96.4	Cadmium carbonic anhydrase repeat protein	IPR018883,IPR036398	AN214_02573
3_1	AF4	A0A4R8FIT1-F1	Rhodovulum visakhapatnamense	96.4	Cadmium carbonic anhydrase-like repeat protein	IPR018883	EV657_12553
3_1	AF4	A0A5S3WP55-F1	Pseudoalteromonas rubra	96.4	Cadmium carbonic anhydrase	IPR018883	CWB99_06125
3_1	AF4	A0A553L480-F1	Aliiglaciecola sp	96.4	Cadmium carbonic anhydrase	IPR018883,IPR036398	FM019_07780
3_1	AF4	A0A498DI92-F1	Mariprofundus sp	96.4	Cadmium carbonic anhydrase	IPR018883,IPR036398	D8Y20_01095
3_1	AF4	A0A259ERA0-F1	Hydrogenophilales bacterium	96.4	Cadmium carbonic anhydrase	IPR018883,IPR036398	B7X91_05640
3_1	AF4	A0A2R8C3F0-F1	Falsiruegeria mediterranea	96.4	Cadmium carbonic anhydrase	IPR018883	TRM7615_00427
3_1	AF4	A0A2M7H8X9-F1	Zetaproteobacteria bacterium	96.4	Signal peptide protein	IPR018883,IPR036398	COW19_10525
3_1	AF4	A0A3G3IJV7-F1	Bathymodiolus thermophilus	96.4	ZirS_C domain-containing protein	IPR018883,IPR036398	MS2017_0093
3_1	AF4	A0A238JJR4-F1	Actibacterium lipolyticum	96.4	CHRD domain-containing protein	IPR018883,IPR036398	COL8621_00086
3_1	AF4	A0A7X4CE24-F1	Acidobacteria bacterium	96.4	Cadmium carbonic anhydrase	IPR018883	F4174_04190
3_1	AF4	A0A1J5J3L9-F1	Zetaproteobacteria bacterium	96.4	Cadmium carbonic anhydrase	IPR018883,IPR036398	AUK36_02845
3_1	AF4	A9CYX8-F1	Hoeflea phototrophica 	96.4	Secreted protein	IPR018883,IPR036398	HPDFL43_00665
3_1	AF4	A0A6B2NPJ2-F1	Ruegeria sp	96.4	Cadmium carbonic anhydrase	IPR018883	G0P99_05775
3_1	AF4	A0A5S3XM84-F1	Pseudoalteromonas citrea	96.4	Cadmium carbonic anhydrase	IPR018883	CWB96_14595
3_1	AF4	A0A5B0TW79-F1	Pseudoalteromonas sp	96.4	Cadmium carbonic anhydrase	IPR018883,IPR036398	EU510_07905
3_1	AF4	C9QE97-F1	Vibrio orientalis	96.4	Cadmium carbonic anhydrase	IPR018883,IPR036398	VIOR3934_20165
3_1	AF4	A0A1V3GQ15-F1	Salinivibrio sp	96.4	Exported protein	IPR018883,IPR036398	BZG23_12805
3_1	AF4	A0A2N7EKB7-F1	Vibrio splendidus	96.4	Cadmium carbonic anhydrase	IPR018883,IPR036398	BCU38_03315
3_1	AF4	A0A1M7DPW7-F1	Roseovarius litoreus	96.4	CHRD domain-containing protein	IPR018883,IPR036398	SAMN05443432_1039
3_1	AF4	A0A7Y0QKQ6-F1	Pseudoalteromonas sp	96.4	Secreted protein	IPR018883,IPR036398	HH219_09690
3_1	AF4	A0A0F5ASE0-F1	Salinivibrio sp	96.4	Exported protein	IPR018883,IPR036398	WN56_00115
3_1	AF4	A0A0A7EH23-F1	Pseudoalteromonas piratica	96.4	Cadmium carbonic anhydrase	IPR018883,IPR036398	OM33_12450
3_1	AF4	B5ESF0-F1	strain MJ11	96.4	FTP domain-containing protein	IPR018883	VFMJ11_A0061
3_1	AF4	A0A6L7SND7-F1	Acidobacteria bacterium	96.4	Cadmium carbonic anhydrase	IPR018883	F4023_09515 F4Z65_02565
3_1	AF4	A0A166YEI2-F1	Pseudoalteromonas luteoviolacea	96.4	Cadmium carbonic anhydrase	IPR018883	N475_09525
3_1	AF4	A0A0F4QK96-F1	Pseudoalteromonas rubra	96.4	Cadmium carbonic anhydrase	IPR018883	TW77_13370
3_1	AF4	A0A285PDA5-F1	Cohaesibacter gelatinilyticus	96.4	Secreted protein	IPR018883,IPR036398	SAMN06265368_2283
3_1	AF4	A0A0N7LZK6-F1	Tropicibacter naphthalenivorans	96.4	Secreted protein	IPR018883	TRN7648_01699
3_1	AF4	A0A3D5NB65-F1	Thalassospira lucentensis	96.4	Secreted protein	IPR018883,IPR036398	DHR80_14480
3_1	AF4	A0A2D5TDP3-F1	Gammaproteobacteria bacterium	96.4	CHRD domain-containing protein	IPR018883	CMP85_07940
3_1	AF4	A0A4Q7E7K3-F1	Pseudoalteromonas rubra	96.4	Cadmium carbonic anhydrase	IPR018883	C3B51_15605
3_1	AF4	A0A2S1JRI8-F1	Microbulbifer sp	96.4	Cadmium carbonic anhydrase	IPR018883,IPR036398	BTJ40_09380
3_1	AF4	V4HBV3-F1	Pseudoalteromonas luteoviolacea	96.4	Cadmium carbonic anhydrase	IPR018883	PL2TA16_04722
3_1	AF4	F2JVM1-F1	Marinomonas mediterranea 	96.4	Cadmium carbonic anhydrase	IPR018883	Marme_1292
3_1	AF4	A0A366C3U2-F1	Rhodovulum sp	96.4	Cadmium carbonic anhydrase	IPR018883	DSD19_04200
3_1	AF4	A0A1B8RYD5-F1	Leisingera sp	96.4	Secreted protein	IPR018883,IPR036398	A9D60_22005
3_1	AF4	A0A6L7XPJ1-F1	Gammaproteobacteria bacterium	96.4	Cadmium carbonic anhydrase	IPR018883	F4Y01_01120
3_1	AF4	A0A424TCW5-F1	Alphaproteobacteria bacterium	96.3	Carbonate dehydratase	IPR018883,IPR036398	CBD10_003585
3_1	AF4	A0A2K8KYW1-F1	Mariprofundus aestuarium	96.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	Ga0123461_1765
3_1	AF4	A0A7Y2K8V1-F1	Pseudoalteromonas sp	96.3	Secreted protein	IPR018883,IPR036398	HJP15_02755
3_1	AF4	A0A843YJC0-F1	Tritonibacter litoralis	96.3	Secreted protein	IPR018883,IPR036398	GFB49_15640
3_1	AF4	A0A128F3V2-F1	Grimontia marina	96.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	GMA8713_01659
3_1	AF4	A0A4Y6RWW8-F1	Labrenzia sp	96.3	Cadmium carbonic anhydrase	IPR018883	FJ695_13130
3_1	AF4	A0A2G1ATT3-F1	Vibrio splendidus	96.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	CSB62_17625
3_1	AF4	A0A5P1RBS2-F1	Neptunomonas concharum	96.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	F0U83_08410
3_1	AF4	A0A2N1CUU8-F1	Paraglaciecola sp	96.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	CXF95_28660
3_1	AF4	A0A167EEA4-F1	Pseudoalteromonas luteoviolacea	96.3	Cadmium carbonic anhydrase	IPR018883	N476_15225
3_1	AF4	A0A4Z0LUQ5-F1	Haliea sp	96.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	E4634_20510
3_1	AF4	A0A0F6A9Z4-F1	Pseudoalteromonas luteoviolacea	96.3	Cadmium carbonic anhydrase	IPR018883	N479_01205
3_1	AF4	A0A6L8AT48-F1	Gammaproteobacteria bacterium	96.3	Cadmium carbonic anhydrase	IPR018883	F4149_02665 F4220_08505 F4X81_17025
3_1	AF4	A0A167LGE2-F1	Pseudoalteromonas luteoviolacea	96.3	Cadmium carbonic anhydrase	IPR018883	N473_14230
3_1	AF4	A0A0L1L7M4-F1	Vibrio lentus	96.3	Secreted protein	IPR018883,IPR036398	ACS79_14155
3_1	AF4	A0A4R2FW88-F1	Vibrio crassostreae	96.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	EDB51_1125
3_1	AF4	A0A094IMX9-F1	Pseudidiomarina atlantica	96.3	CHRD domain-containing protein	IPR018883,IPR036398	IDAT_09150
3_1	AF4	E1SMY4-F1	Ferrimonas balearica 	96.3	Secreted protein	IPR018883,IPR036398	Fbal_2451
3_1	AF4	A0A2G8RB38-F1	Puniceibacterium antarcticum	96.3	Cadmium carbonic anhydrase	IPR018883	P775_19540
3_1	AF4	F6CSW6-F1	Marinomonas posidonica 	96.3	Cadmium carbonic anhydrase	IPR018883	Mar181_0906
3_1	AF4	A0A6B1HIT3-F1	Gammaproteobacteria bacterium	96.3	Cadmium carbonic anhydrase	IPR018883	F4089_14400
3_1	AF4	A0A545UCK1-F1	Aliikangiella coralliicola	96.3	Cadmium carbonic anhydrase	IPR018883	FLL46_15440
3_1	AF4	A0A845HVN5-F1	Duganella fentianensis	96.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	GTP23_08440
3_1	AF4	A0A1N6EFP8-F1	Salinivibrio sp	96.3	Cadmium carbonic anhydrase	IPR018883,IPR036398	SAMN05444724_0677
3_1	AF4	A0A0M7AB92-F1	Roseibium alexandrii	96.3	Cadmium carbonic anhydrase	IPR018883	LAX5112_02683
3_1	AF4	A0A5S3UR74-F1	Pseudoalteromonas rubra	96.2	Cadmium carbonic anhydrase	IPR018883	CWC22_006125
3_1	AF4	A0A0M6Y0M0-F1	Roseibium aggregatum	96.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	LAL4801_01680
3_1	AF4	A0A1L3I611-F1	Phaeobacter porticola	96.2	CHRD domain-containing protein	IPR018883,IPR036398	PhaeoP97_02092
3_1	AF4	A0A640VQP1-F1	Roseobacter cerasinus	96.2	CHRD domain-containing protein	IPR018883,IPR036398	So717_17450
3_1	AF4	A6VV95-F1	strain MWYL1	96.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	Mmwyl1_1445
3_1	AF4	B9NPR5-F1	Rhodobacteraceae bacterium	96.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	RKLH11_208
3_1	AF4	A0A2T7UYQ4-F1	Pararhodobacter aggregans	96.2	Peptidylprolyl isomerase	IPR018883,IPR036398	DDE23_00065
3_1	AF4	A0A6M8VHM6-F1	Proteobacteria bacterium	96.2	CHRD domain-containing protein	IPR018883,IPR036398	HND55_12080
3_1	AF4	A0A7Y6U1K8-F1	Pseudoalteromonas sp	96.2	Cadmium carbonic anhydrase	IPR018883	HUZ36_11895
3_1	AF4	V9WFT9-F1	Phaeobacter gallaeciensis	96.2	Secreted protein	IPR018883,IPR036398	Gal_01275
3_1	AF4	D0IKM8-F1	Vibrio sp	96.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	VOA_002212
3_1	AF4	A0A6L8BB87-F1	Proteobacteria bacterium	96.2	Cadmium carbonic anhydrase	IPR018883	F4053_02660 F4181_05795
3_1	AF4	G7G4L5-F1	Pseudoalteromonas sp	96.2	Cadmium carbonic anhydrase	IPR018883,IPR036398	P20495_2852
3_1	AF4	A0A850Q783-F1	Donghicola mangrovi	96.1	Cadmium carbonic anhydrase	IPR018883	HJ536_15585
3_1	AF4	A0A1Y0CV22-F1	Oceanisphaera avium	96.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	CBP12_02705
3_1	AF4	A0A2N7IDY5-F1	Vibrio lentus	96.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	BCT74_07650
3_1	AF4	A0NPR5-F1	Stappia aggregata	96.1	Cadmium carbonic anhydrase	IPR018883	SIAM614_18924
3_1	AF4	A0A6A8VZ65-F1	Pseudoduganella danionis	96.1	DUF1264 domain-containing protein	IPR018883,IPR036398	GM655_11810
3_1	AF4	A0A2Z6UFR9-F1	strain KUL10	96.1	Cadmium carbonic anhydrase	IPR018883	KUL10_35030
3_1	AF4	A0A238YK89-F1	Puniceibacterium sediminis	96.1	Cadmium carbonic anhydrase repeat-containing protein	IPR018883	SAMN06265370_11753
3_1	AF4	A0A1Y5GKR9-F1	Gammaproteobacteria bacterium	96.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	A9Q99_25540
3_1	AF4	A0A2I7LWT3-F1	Phaeobacter inhibens	96.1	CHRD domain-containing protein	IPR018883,IPR036398	PhaeoP88_02172
3_1	AF4	A0A2A5FIM7-F1	Zetaproteobacteria bacterium	96.1	Signal peptide protein	IPR018883	COA61_02950 COA61_12475
3_1	AF4	A0A1C0TND9-F1	Pseudoalteromonas luteoviolacea	96.1	Cadmium carbonic anhydrase	IPR018883	A7985_15115
3_1	AF4	A0A0S2TAA2-F1	Candidatus Tenderia	96.1	Cadmium carbonic anhydrase	IPR018883	Tel_02325
3_1	AF4	A0A0N7M4G9-F1	Leisingera aquaemixtae	96.1	Secreted protein	IPR018883,IPR036398	PHA8399_01724
3_1	AF4	A0A6N6L717-F1	Proteobacteria bacterium	96.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	DWQ11_14905
3_1	AF4	A0A238KEQ0-F1	Pelagimonas varians	96.1	Secreted protein	IPR018883,IPR036398	PEV8663_02233
3_1	AF4	A0A1Q9QM79-F1	Rhodobacter sulfidophilus	96.1	Cadmium carbonic anhydrase	IPR018883	BV392_06210
3_1	AF4	A0A0K2E0Q5-F1	Piscirickettsia salmonis	96.1	Cadmium carbonic anhydrase	IPR018883	KW89_2891 Psal009_00180
3_1	AF4	A0A290T4G7-F1	Pseudoalteromonas spongiae	96.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	PSPO_a2009
3_1	AF4	A0A6N9FMD6-F1	Gammaproteobacteria bacterium	96.1	Cadmium carbonic anhydrase	IPR018883	F4013_06665 F4133_12510
3_1	AF4	A0A0U3HUR4-F1	Pseudoalteromonas rubra	96.1	Cadmium carbonic anhydrase	IPR018883	AT705_18335
3_1	AF4	A0A7W2IBK2-F1	Duganella sp	96.1	Cadmium carbonic anhydrase	IPR018883,IPR036398	H3H37_08260
3_1	AF4	A0A7Y4C3A8-F1	Vibrio sp	96.1	FTP domain-containing protein	IPR018883,IPR036398	F0227_03715
3_1	AF4	A0A291FPY0-F1	Phaeobacter piscinae	96.1	CHRD domain-containing protein	IPR018883,IPR036398	PhaeoP36_02012
3_1	AF4	A0A1V0HY51-F1	strain MB263	96.1	Cadmium carbonic anhydrase	IPR018883	B5V46_09710
3_1	AF4	A0A5S3WYG0-F1	Pseudoalteromonas rubra	96.1	Cadmium carbonic anhydrase	IPR018883	CWB98_16415
3_1	AF4	A0A4Y8RV32-F1	Jiella endophytica	96.0	Cadmium carbonic anhydrase	IPR018883	E3C22_02235
3_1	AF4	A0A3B6Y3G7-F1	Pseudoalteromonas piscicida	96.0	Cadmium carbonic anhydrase	IPR018883	D0N37_13680
3_1	AF4	A0A7Z9UAW7-F1	Phycisphaerales bacterium	96.0	Cadmium carbonic anhydrase	IPR018883	EYO33_14055
3_1	AF4	A0A6B0Z8H9-F1	Gammaproteobacteria bacterium	96.0	Cadmium carbonic anhydrase	IPR018883	F4222_01320 F4Y72_06100 F4Z95_11985
3_1	AF4	A0A177W0K2-F1	Piscirickettsiaceae bacterium	96.0	Cadmium carbonic anhydrase	IPR018883	A0O36_02602
3_1	AF4	A0A7W2MS45-F1	Colwellia sp	96.0	Cadmium carbonic anhydrase	IPR018883,IPR036398	H4J40_12940
3_1	AF4	A0A1G0BG06-F1	Gallionellales bacterium	95.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	A2063_01430
3_1	AF4	A0A1W1Z9Z7-F1	Fulvimarina manganoxydans	95.9	Cadmium carbonic anhydrase	IPR018883	SAMN06297251_102275
3_1	AF4	A0A5M6IEN9-F1	Roseospira marina	95.9	Cadmium carbonic anhydrase	IPR018883	F1188_05275
3_1	AF4	A0A399R9T2-F1	Henriciella mobilis	95.9	Cadmium carbonic anhydrase	IPR018883	D1223_17740
3_1	AF4	A0A2N7J3W7-F1	Vibrio sp	95.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	BCT66_22665
3_1	AF4	A0A7U4WYX7-F1	Piscirickettsia salmonis	95.9	Cadmium carbonic anhydrase	IPR018883	AVI55_13885
3_1	AF4	K6Y571-F1	Paraglaciecola arctica	95.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	GARC_2159
3_1	AF4	A0A3D2FIG0-F1	Gallionellaceae bacterium	95.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	DFK12_06210
3_1	AF4	A0A2M7WS22-F1	Zetaproteobacteria bacterium	95.9	Secreted protein	IPR018883	CO187_03105
3_1	AF4	A0A161XMU2-F1	Labrenzia sp	95.9	Secreted protein	IPR018883,IPR036398	OA90_22985
3_1	AF4	A0A3M2FAK3-F1	Zetaproteobacteria bacterium	95.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	D6678_06705
3_1	AF4	A0A2C6CIX0-F1	Pseudoalteromonas sp	95.9	Cadmium carbonic anhydrase	IPR018883	CBQ28_16000
3_1	AF4	A0A5R9GKY7-F1	Mariprofundus erugo	95.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	FEF65_11930
3_1	AF4	A0A7X0DNL4-F1	Aquaspirillum itersonii	95.9	Secreted protein	IPR018883,IPR036398	FHS48_001777
3_1	AF4	A0A2K9JUY8-F1	Pseudoalteromonas sp	95.9	Cadmium carbonic anhydrase	IPR018883	PNC201_04895
3_1	AF4	A0A849MKA8-F1	Proteobacteria bacterium	95.9	Cadmium carbonic anhydrase	IPR018883	HND53_08540
3_1	AF4	A0A853IDL4-F1	Endozoicomonas sp	95.9	Cadmium carbonic anhydrase	IPR018883	H0A36_19180
3_1	AF4	A0A1J4YUS0-F1	Zetaproteobacteria bacterium	95.9	Secreted protein	IPR018883,IPR036398	AUJ57_00430
3_1	AF4	A0A099L5G6-F1	Vibrio psychroerythus	95.9	Cadmium carbonic anhydrase	IPR018883,IPR036398	GAB14E_1016
